expert_id;image_name;name;112.ua;24 канал;Gazeta.ua;LB.ua;LIGA.net;Obozrevatel;Politeka;ZIK;ZN.UA;Zaxid.net;Znaj.ua;Інтерфакс-Україна;Апостроф;Бабель;Букви;Вголос;Вести;Главком;ГолосUA;Гордон;Громадське;Економічна правда;Еспресо ТВ;КП в Украине;Корреспондент.net;НВ;РБК-Україна;Радіо Свобода;Страна.ua;Суспільне;Сьогодні;ТСН;Телеграф;УНІАН;УНН;Українська правда;Українські новини;Укрінформ;Факти;Факти ICTV;Фокус;Цензор.НЕТ
134;o_pendzyn;Олег Пендзин;0;2;1;0;0;6;3;0;0;0;4;0;4;0;1;1;5;9;42;0;0;0;1;1;0;0;0;0;2;2;12;1;1;1;2;0;3;0;0;1;0;0
239;v_iosub;Вадим Іосуб;0;0;4;0;0;10;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;3;0;0;4;0;0;0;2;0;4;2;0;0;54;0;5;3;0;0
214;o_kushch;Олексій Кущ;0;0;1;0;0;1;16;1;0;0;12;0;5;0;0;0;2;0;6;0;0;0;0;8;0;0;0;0;4;0;6;0;0;0;0;0;0;0;0;1;0;0
124;b_kushniruk;Борис Кушнірук;0;0;3;0;0;10;9;0;0;0;10;0;1;0;0;0;1;9;1;1;0;0;2;0;0;0;2;0;0;0;6;0;1;0;0;0;0;0;1;0;1;3
328;k_kotenkova;Катерина Котенкова;0;0;0;0;0;0;28;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
256;o_kalenkov;Олександр Каленков;0;3;0;0;0;12;9;0;0;0;9;0;0;0;0;0;0;7;0;1;0;0;0;0;0;0;3;0;0;0;3;0;0;2;0;0;3;0;0;0;0;3
215;o_ustenko;Олег Устенко;4;4;3;2;2;3;1;0;1;0;0;1;0;0;1;0;3;2;0;5;0;2;1;2;2;1;1;0;0;0;1;0;2;1;0;0;2;3;0;1;0;3
189;a_shevchyshyn;Андрій Шевчишин;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0;0;0;0;16;0;19;0;1;1;0;0;0;0;4;0;0;0
554;s_kuiun;Сергій Куюн;3;1;0;0;0;1;0;0;1;0;0;0;3;0;0;0;3;3;4;0;0;0;3;1;0;1;0;0;2;1;11;0;2;0;2;0;9;1;1;1;0;0
211;o_okhrimenko;Олександр Охріменко;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;3;3;5;0;0;0;0;3;0;0;1;0;0;0;9;1;0;1;4;0;4;0;0;0;0;0
635;o_doroshenko;Олексій Дорошенко;0;0;1;0;0;6;2;0;0;0;1;0;0;0;1;1;7;5;4;0;0;0;0;0;0;0;0;0;0;0;3;0;1;1;1;0;2;0;0;0;0;0
1498;a_hunder;Андрій Гундер;0;0;1;1;0;3;5;0;0;0;5;0;1;0;1;0;0;2;0;0;0;0;1;0;0;1;1;0;0;0;4;0;0;0;0;0;3;2;0;1;1;1
163;t_mylovanov;Тимофій Милованов;0;2;0;0;2;0;0;1;0;0;1;1;0;0;0;0;2;2;1;1;1;0;1;0;0;1;0;0;0;0;2;0;1;2;3;0;0;0;0;4;1;2
294;v_omelian;Володимир Омелян;0;0;0;0;0;6;5;0;0;0;7;0;0;0;1;0;0;3;0;1;0;0;1;0;0;0;2;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
377;s_fursa;Сергій Фурса;0;5;0;0;0;0;4;0;0;0;2;0;5;0;0;0;0;1;0;0;0;0;0;0;1;5;0;0;0;0;0;0;1;1;0;0;0;0;4;0;0;1
913;y_ryzhenkov;Юрій Риженков;0;2;1;0;1;3;1;0;0;0;2;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;3;0;0;5;0;0;2;0;0;2;0;0
837;s_rodler;Сергій Родлер;0;0;0;0;0;13;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;4;0;0;0;0;1;0;4;0;0;1;0;0;0;0;0;0;0;0
1030;v_zemlianskyi;Валентин Землянський;0;0;0;0;0;2;5;0;0;0;3;0;1;0;0;0;1;0;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0
1017;a_starovoit;Анатолій Старовойт;0;0;0;0;0;6;5;0;0;0;5;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
980;s_zinchenko;Станіслав Зінченко;0;0;0;0;0;4;5;0;0;0;5;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
576;y_korolchuk;Юрій Корольчук;0;0;1;0;0;0;0;1;0;0;3;0;0;0;0;0;2;0;5;0;0;0;0;2;0;0;0;0;5;1;1;0;0;0;0;0;1;0;0;0;0;0
