expert_id;image_name;name;112.ua;24 канал;Gazeta.ua;LB.ua;LIGA.net;Obozrevatel;Politeka;ZIK;ZN.UA;Zaxid.net;Znaj.ua;Інтерфакс-Україна;Апостроф;Бабель;Букви;Вголос;Вести;Главком;ГолосUA;Гордон;Громадське;Економічна правда;Еспресо ТВ;КП в Украине;Корреспондент.net;НВ;РБК-Україна;Радіо Свобода;Страна.ua;Суспільне;Сьогодні;ТСН;Телеграф;УНІАН;УНН;Українська правда;Українські новини;Укрінформ;Факти;Факти ICTV;Фокус;Цензор.НЕТ
43;y_butusov;Юрій Бутусов;2;14;4;0;6;2;2;1;1;3;4;0;4;2;5;0;3;2;3;17;0;0;4;0;0;6;0;0;2;2;1;0;1;0;0;1;0;6;6;0;1;5
94;s_leshchenko;Сергій Лещенко;0;23;0;0;0;7;1;0;2;2;1;1;4;0;1;1;2;13;0;17;1;0;0;1;0;3;0;0;0;0;0;0;0;1;6;0;0;0;0;0;1;4
136;r_bortnyk;Руслан Бортник;3;0;0;0;0;0;12;5;0;0;13;0;0;0;0;0;11;0;32;0;0;0;0;1;0;0;0;0;3;0;1;0;1;1;0;0;0;0;0;0;0;0
147;a_yatseniuk;Арсеній Яценюк;0;3;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;18;0;0;1;0;0;0;0;7;0;0;21;0;0;1;0;0;0;4;0;0;0;0
373;r_riaboshapka;Руслан Рябошапка;1;12;0;0;0;2;0;1;4;0;0;0;8;5;1;0;2;2;1;4;0;0;0;3;0;1;0;0;0;1;1;0;1;1;0;0;1;0;0;0;0;2
126;v_shabunin;Віталій Шабунін;0;11;8;1;2;0;0;0;3;1;0;1;0;1;0;1;1;0;0;4;1;0;1;0;0;2;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;12
111;d_hordon;Дмитро Гордон;0;5;0;0;0;10;1;0;0;0;0;0;1;0;0;0;2;0;0;16;0;0;1;0;0;3;0;0;1;0;4;0;3;0;0;0;1;0;0;1;2;2
294;v_omelian;Володимир Омелян;0;0;0;0;0;11;12;0;0;0;11;0;0;0;1;0;0;4;0;0;0;0;2;0;0;0;7;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0
541;m_rudkovskyi;Микола Рудьковський;0;1;0;1;0;1;2;0;1;2;1;0;2;2;1;0;2;1;0;13;0;0;0;0;2;1;4;0;0;2;5;0;0;1;0;0;0;0;1;0;1;4
337;p_klimkin;Павло Клімкін;0;3;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;3;0;11;0;0;2;0;0;0;1;2;0;0;1;2;0;1;0;3;0;2;0;0;0;0
293;a_zolotarov;Андрій Золотарьов;0;0;1;0;0;4;5;0;1;0;2;0;4;0;0;0;5;0;14;0;0;0;1;1;0;0;0;0;0;0;1;0;1;1;4;0;0;0;0;0;0;0
534;k_bondarenko;Кость Бондаренко;0;0;0;0;0;0;17;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
230;v_fesenko;Володимир Фесенко;1;11;0;0;0;1;0;1;0;0;0;0;5;0;0;0;4;1;6;0;0;0;0;1;0;0;0;0;0;0;3;1;0;1;2;0;0;1;0;1;0;1
1355;v_lytvyn;Володимир Литвин;0;4;0;1;2;1;0;0;1;1;0;0;0;0;0;0;3;3;1;3;0;0;0;0;0;1;0;1;6;0;1;0;1;2;0;1;1;0;0;1;0;1
166;r_biziaiev;Руслан Бізяєв;0;0;0;0;0;0;7;0;0;0;6;0;1;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
464;t_zahorodnii;Тарас Загородній;0;0;0;0;0;2;12;0;0;0;18;0;1;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
454;i_holovan;Ігор Головань;0;1;1;3;1;4;0;0;1;0;0;3;0;1;2;0;0;3;0;1;0;0;3;1;0;2;1;1;0;0;0;0;1;0;0;1;0;1;0;0;0;3
587;s_filimonov;Сергій Філімонов;0;1;0;0;0;3;0;0;0;0;0;0;0;1;1;0;1;0;0;10;3;0;0;1;0;1;0;0;4;0;1;0;2;0;0;0;0;0;0;0;2;3
124;b_kushniruk;Борис Кушнірук;0;0;1;0;0;5;6;0;0;0;7;0;0;0;0;0;0;5;0;4;0;0;0;0;0;0;1;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0
325;o_batsman;Олеся Бацман;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
777;o_danyliuk;Олександр Данилюк;2;1;3;0;0;0;0;0;2;1;0;0;2;0;0;0;2;0;1;1;0;2;1;2;0;2;0;0;0;0;1;0;2;2;1;0;0;0;0;1;1;3
395;k_hroziev;Христо Грозєв;0;2;0;1;2;0;1;0;1;0;0;0;2;1;2;0;1;2;0;4;0;0;2;0;0;1;0;0;1;0;0;0;0;0;1;1;0;1;1;1;0;4
458;k_sazonov;Кирило Сазонов;0;1;2;0;0;5;3;0;0;0;3;0;0;0;0;0;0;4;1;0;0;0;1;3;0;0;0;0;0;0;1;0;1;0;1;0;1;0;2;0;1;1
424;a_bohdan;Андрій Богдан;1;0;0;1;0;1;0;2;0;0;0;0;1;0;0;0;1;1;0;14;0;0;0;1;0;1;1;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0
550;d_sniehyrov;Дмитро Снєгирьов;0;0;0;0;0;0;15;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
390;r_kravets;Ростислав Кравець;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;3;0;11;0;0;0;0;0;0;0;0;0;6;0;0;0;1;0;4;0;1;0;0;0;0;0
249;o_yakubin;Олексій Якубін;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;12;0;9;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
