image_name;name;Економічна правда:позитивні;Економічна правда:нейтральні;Економічна правда:негативні;РБК-Україна:позитивні;РБК-Україна:нейтральні;РБК-Україна:негативні;Українська правда:позитивні;Українська правда:нейтральні;Українська правда:негативні;ZIK:позитивні;ZIK:нейтральні;ZIK:негативні;LIGA.net:позитивні;LIGA.net:нейтральні;LIGA.net:негативні;Obozrevatel:позитивні;Obozrevatel:нейтральні;Obozrevatel:негативні;24 канал:позитивні;24 канал:нейтральні;24 канал:негативні;УНІАН:позитивні;УНІАН:нейтральні;УНІАН:негативні;LB.ua:позитивні;LB.ua:нейтральні;LB.ua:негативні;ТСН:позитивні;ТСН:нейтральні;ТСН:негативні;Сьогодні:позитивні;Сьогодні:нейтральні;Сьогодні:негативні;Гордон:позитивні;Гордон:нейтральні;Гордон:негативні;УНН:позитивні;УНН:нейтральні;УНН:негативні;Апостроф:позитивні;Апостроф:нейтральні;Апостроф:негативні;Українські новини:позитивні;Українські новини:нейтральні;Українські новини:негативні;Страна.ua:позитивні;Страна.ua:нейтральні;Страна.ua:негативні;Радіо Свобода:позитивні;Радіо Свобода:нейтральні;Радіо Свобода:негативні;Фокус:позитивні;Фокус:нейтральні;Фокус:негативні;Інтерфакс-Україна:позитивні;Інтерфакс-Україна:нейтральні;Інтерфакс-Україна:негативні;112.ua:позитивні;112.ua:нейтральні;112.ua:негативні;ZN.UA:позитивні;ZN.UA:нейтральні;ZN.UA:негативні;Znaj.ua:позитивні;Znaj.ua:нейтральні;Znaj.ua:негативні;Politeka:позитивні;Politeka:нейтральні;Politeka:негативні;Громадське:позитивні;Громадське:нейтральні;Громадське:негативні;Факти ICTV:позитивні;Факти ICTV:нейтральні;Факти ICTV:негативні;Главком:позитивні;Главком:нейтральні;Главком:негативні;Цензор.НЕТ:позитивні;Цензор.НЕТ:нейтральні;Цензор.НЕТ:негативні;Корреспондент.net:позитивні;Корреспондент.net:нейтральні;Корреспондент.net:негативні;Вголос:позитивні;Вголос:нейтральні;Вголос:негативні;НВ:позитивні;НВ:нейтральні;НВ:негативні;Gazeta.ua:позитивні;Gazeta.ua:нейтральні;Gazeta.ua:негативні;Zaxid.net:позитивні;Zaxid.net:нейтральні;Zaxid.net:негативні;Суспільне:позитивні;Суспільне:нейтральні;Суспільне:негативні;Укрінформ:позитивні;Укрінформ:нейтральні;Укрінформ:негативні;ГолосUA:позитивні;ГолосUA:нейтральні;ГолосUA:негативні;Букви:позитивні;Букви:нейтральні;Букви:негативні;КП в Украине:позитивні;КП в Украине:нейтральні;КП в Украине:негативні;Факти:позитивні;Факти:нейтральні;Факти:негативні;Телеграф:позитивні;Телеграф:нейтральні;Телеграф:негативні;Вести:позитивні;Вести:нейтральні;Вести:негативні;Еспресо ТВ:позитивні;Еспресо ТВ:нейтральні;Еспресо ТВ:негативні;Бабель:позитивні;Бабель:нейтральні;Бабель:негативні
v_zelenskyi;Володимир Зеленський;5;13;8;37;66;50;18;28;45;16;26;94;26;44;50;42;65;87;69;98;175;37;50;76;24;32;44;6;15;13;27;40;60;60;82;161;44;51;80;15;29;55;46;40;51;55;47;83;11;28;30;49;23;37;63;57;59;26;48;117;28;43;91;21;29;37;6;14;22;17;9;27;20;34;28;76;68;146;93;73;103;37;41;45;5;25;19;66;38;132;25;43;85;10;10;21;15;33;29;88;62;58;56;49;103;20;31;85;57;27;64;21;23;24;27;27;48;116;57;112;26;52;64;7;29;39
m_stepanov;Максим Степанов;0;2;1;7;47;34;5;22;14;4;22;14;9;20;17;8;35;35;16;26;79;16;37;41;1;12;16;12;26;19;10;45;40;11;43;55;38;105;95;4;6;15;14;21;9;6;24;34;0;26;10;6;12;23;11;34;40;10;52;30;43;43;49;3;3;11;0;2;3;8;14;3;14;37;26;26;54;64;29;52;56;8;39;45;3;17;2;41;38;46;0;20;14;1;6;10;5;29;10;20;67;19;9;23;22;4;17;11;12;20;25;4;5;8;4;8;5;31;20;23;7;48;14;1;16;12
v_medvedchuk;Віктор Медведчук;0;1;3;1;14;23;1;8;21;10;10;73;2;8;26;3;15;46;10;31;61;6;12;36;1;5;13;0;4;4;1;7;11;9;12;67;2;3;4;1;11;31;4;2;11;5;4;15;2;5;20;10;7;19;1;10;14;9;11;71;2;9;39;0;1;1;1;0;5;1;4;20;0;1;3;4;25;60;6;12;36;0;2;7;0;3;3;10;25;58;5;13;34;0;4;12;1;6;12;0;8;24;29;20;69;2;3;17;15;6;23;3;5;11;10;17;32;26;23;40;3;11;15;1;11;19
d_shmyhal;Денис Шмигаль;11;13;12;10;30;16;3;10;4;3;11;14;6;15;13;6;25;35;19;24;32;8;14;9;5;7;7;3;6;3;4;15;10;9;17;38;14;34;25;2;2;9;6;17;12;3;8;15;3;9;3;15;4;10;14;18;10;8;14;18;5;10;13;4;6;13;4;3;14;3;2;2;4;19;10;19;28;28;26;27;10;8;19;9;0;11;4;18;10;12;6;13;7;2;1;1;4;17;5;45;42;14;13;17;11;3;7;4;15;4;8;1;1;3;2;4;1;24;16;9;6;30;8;3;7;0
p_poroshenko;Петро Порошенко;0;0;0;5;10;15;2;6;12;3;2;17;1;4;3;12;12;27;8;16;50;0;3;18;3;8;28;0;1;4;0;2;10;7;19;59;5;3;4;0;7;15;17;8;28;12;16;49;0;1;9;8;2;13;5;7;17;2;2;12;5;7;21;3;3;9;2;3;9;0;3;4;1;2;1;6;12;45;11;7;21;0;1;4;0;0;4;10;10;40;6;8;20;1;0;9;1;2;0;2;5;8;11;7;22;3;10;40;10;4;22;3;0;8;7;9;8;23;13;46;1;5;19;1;3;23
v_liashko;Віктор Ляшко;0;0;0;16;26;13;2;14;3;3;10;4;5;16;11;4;25;10;6;20;24;9;13;8;2;7;7;4;9;9;5;11;8;10;17;10;4;11;7;1;6;4;4;11;7;5;9;7;3;7;3;5;6;10;4;16;2;10;14;6;19;18;12;1;2;1;0;1;3;15;3;2;6;17;7;9;12;10;12;26;11;5;16;12;4;5;0;11;9;17;3;4;1;2;6;1;4;5;5;3;25;12;3;8;7;3;7;5;2;9;5;4;4;1;1;3;3;10;6;7;6;19;5;2;9;0
o_danilov;Олексій Данілов;0;6;1;0;10;14;0;4;10;0;6;8;1;5;14;0;9;16;2;16;29;2;9;25;0;3;4;0;0;1;0;7;9;1;8;29;0;12;11;0;3;11;5;16;14;4;6;11;0;10;6;4;6;12;1;10;12;0;7;10;0;7;12;0;2;1;0;1;2;0;3;3;0;8;7;3;6;18;8;18;13;1;5;5;0;5;3;9;9;24;0;2;8;1;1;8;0;1;4;0;10;20;6;4;13;0;7;7;3;3;12;1;1;1;4;3;5;14;7;8;0;6;11;0;6;5
a_avakov;Арсен Аваков;1;0;0;2;9;10;6;1;12;0;0;4;2;4;4;8;4;20;5;9;35;1;5;16;4;1;6;1;4;7;2;4;8;6;9;29;2;5;4;0;2;1;9;8;10;10;5;12;0;4;16;3;2;6;5;8;12;2;3;3;4;3;15;0;1;0;0;1;0;1;3;7;2;3;3;3;11;21;9;10;13;0;3;4;0;1;3;7;5;10;2;5;16;2;1;6;0;1;4;6;6;12;4;2;2;3;2;11;5;1;8;1;2;6;2;2;2;17;5;5;1;5;10;2;5;19
v_klychko;Віталій Кличко;0;0;0;4;7;9;2;3;7;0;1;3;1;2;2;3;8;6;2;3;7;1;3;21;4;8;8;1;4;3;1;6;6;3;4;11;0;3;34;1;2;0;10;9;17;4;4;15;0;3;3;2;4;9;6;10;24;0;4;14;1;8;11;5;3;3;1;0;12;1;1;1;0;0;6;6;17;39;4;14;32;2;2;8;0;0;1;6;10;18;0;3;8;0;0;1;0;3;10;2;13;30;4;4;11;1;1;2;5;2;9;0;1;4;1;1;3;7;8;3;0;2;3;0;2;8
d_razumkov;Дмитро Разумков;0;1;1;2;19;9;2;11;2;0;3;5;3;4;0;2;10;6;2;12;15;2;14;10;2;9;8;1;3;0;1;7;5;6;6;17;3;18;9;0;2;3;5;11;5;7;9;7;0;3;1;8;4;4;7;19;7;1;11;7;3;12;4;2;6;6;2;1;5;0;0;2;1;1;2;2;7;10;12;25;6;1;9;8;1;3;1;5;7;4;3;13;6;0;0;2;2;2;2;7;32;12;4;8;2;0;3;3;6;8;0;2;1;0;3;2;2;11;11;6;0;20;3;1;3;2
