image_name;name;Економічна правда:позитивні;Економічна правда:нейтральні;Економічна правда:негативні;РБК-Україна:позитивні;РБК-Україна:нейтральні;РБК-Україна:негативні;Українська правда:позитивні;Українська правда:нейтральні;Українська правда:негативні;ZIK:позитивні;ZIK:нейтральні;ZIK:негативні;LIGA.net:позитивні;LIGA.net:нейтральні;LIGA.net:негативні;Obozrevatel:позитивні;Obozrevatel:нейтральні;Obozrevatel:негативні;24 канал:позитивні;24 канал:нейтральні;24 канал:негативні;УНІАН:позитивні;УНІАН:нейтральні;УНІАН:негативні;LB.ua:позитивні;LB.ua:нейтральні;LB.ua:негативні;ТСН:позитивні;ТСН:нейтральні;ТСН:негативні;Сьогодні:позитивні;Сьогодні:нейтральні;Сьогодні:негативні;Гордон:позитивні;Гордон:нейтральні;Гордон:негативні;УНН:позитивні;УНН:нейтральні;УНН:негативні;Апостроф:позитивні;Апостроф:нейтральні;Апостроф:негативні;Українські новини:позитивні;Українські новини:нейтральні;Українські новини:негативні;Страна.ua:позитивні;Страна.ua:нейтральні;Страна.ua:негативні;Радіо Свобода:позитивні;Радіо Свобода:нейтральні;Радіо Свобода:негативні;Фокус:позитивні;Фокус:нейтральні;Фокус:негативні;Інтерфакс-Україна:позитивні;Інтерфакс-Україна:нейтральні;Інтерфакс-Україна:негативні;112.ua:позитивні;112.ua:нейтральні;112.ua:негативні;ZN.UA:позитивні;ZN.UA:нейтральні;ZN.UA:негативні;Znaj.ua:позитивні;Znaj.ua:нейтральні;Znaj.ua:негативні;Politeka:позитивні;Politeka:нейтральні;Politeka:негативні;Громадське:позитивні;Громадське:нейтральні;Громадське:негативні;Факти ICTV:позитивні;Факти ICTV:нейтральні;Факти ICTV:негативні;Главком:позитивні;Главком:нейтральні;Главком:негативні;Цензор.НЕТ:позитивні;Цензор.НЕТ:нейтральні;Цензор.НЕТ:негативні;Корреспондент.net:позитивні;Корреспондент.net:нейтральні;Корреспондент.net:негативні;Вголос:позитивні;Вголос:нейтральні;Вголос:негативні;НВ:позитивні;НВ:нейтральні;НВ:негативні;Gazeta.ua:позитивні;Gazeta.ua:нейтральні;Gazeta.ua:негативні;Zaxid.net:позитивні;Zaxid.net:нейтральні;Zaxid.net:негативні;Суспільне:позитивні;Суспільне:нейтральні;Суспільне:негативні;Укрінформ:позитивні;Укрінформ:нейтральні;Укрінформ:негативні;ГолосUA:позитивні;ГолосUA:нейтральні;ГолосUA:негативні;Букви:позитивні;Букви:нейтральні;Букви:негативні;КП в Украине:позитивні;КП в Украине:нейтральні;КП в Украине:негативні;Факти:позитивні;Факти:нейтральні;Факти:негативні;Телеграф:позитивні;Телеграф:нейтральні;Телеграф:негативні;Вести:позитивні;Вести:нейтральні;Вести:негативні;Еспресо ТВ:позитивні;Еспресо ТВ:нейтральні;Еспресо ТВ:негативні;Бабель:позитивні;Бабель:нейтральні;Бабель:негативні
m_stepanov;Максим Степанов;0;1;1;5;38;30;4;19;13;4;14;10;7;18;14;6;31;30;12;22;62;14;32;34;1;8;14;12;24;19;7;40;36;11;41;52;31;99;88;2;6;9;12;16;8;5;20;30;0;22;8;4;9;22;9;26;37;6;45;24;41;37;47;2;2;3;0;2;3;8;14;3;14;35;25;25;50;61;23;40;52;6;35;39;3;14;2;35;34;39;0;12;10;1;6;8;5;26;9;18;54;16;8;23;19;4;13;6;8;18;22;1;4;7;4;8;5;21;17;19;4;40;10;1;15;7
v_liashko;Віктор Ляшко;0;0;0;13;24;11;1;14;3;2;10;4;4;14;10;4;24;9;6;19;20;9;12;8;2;7;5;3;9;9;5;10;7;10;17;8;4;10;7;1;4;2;3;10;5;5;8;4;3;7;3;5;5;10;4;14;1;9;13;6;19;18;12;1;2;1;0;1;2;14;3;2;6;16;7;9;12;9;10;25;9;5;15;12;4;5;0;11;9;17;3;4;1;2;6;1;4;5;5;3;22;12;3;8;6;3;7;4;1;8;5;3;4;0;1;2;3;9;5;7;5;13;4;2;8;0
v_klychko;Віталій Кличко;0;0;0;1;3;5;0;2;5;0;0;2;0;1;0;1;6;2;0;0;2;0;2;19;0;3;3;1;3;2;1;4;4;0;2;5;0;2;32;0;1;0;3;4;13;2;2;10;0;1;1;0;0;6;0;8;21;0;3;13;0;2;7;0;3;0;0;0;12;0;1;0;0;0;4;1;12;29;0;10;28;0;2;6;0;0;1;1;5;11;0;2;4;0;0;0;0;2;9;1;7;26;0;1;9;0;0;1;0;2;6;0;0;3;0;1;2;1;3;1;0;2;1;0;2;1
v_zelenskyi;Володимир Зеленський;0;1;0;5;5;1;1;4;3;2;0;4;4;7;3;2;8;3;6;5;10;5;10;3;1;7;1;5;4;0;4;4;2;8;9;3;3;5;5;0;7;4;3;5;4;4;6;3;1;4;1;6;2;3;3;5;3;2;7;5;1;4;6;0;1;1;0;0;0;4;1;0;1;8;4;9;6;6;3;3;1;4;6;6;1;2;0;9;7;6;2;6;3;1;3;0;2;2;1;4;8;1;1;3;2;1;1;2;1;3;2;1;1;0;2;3;2;8;5;4;1;4;0;0;2;2
d_shmyhal;Денис Шмигаль;0;0;0;4;9;4;2;3;2;0;2;2;3;5;3;2;6;4;3;7;8;4;6;3;0;2;0;2;3;0;0;4;1;1;7;12;4;6;6;0;1;3;0;1;3;0;2;5;1;5;0;4;1;4;0;4;0;2;5;5;2;1;4;0;0;0;0;0;2;0;0;0;0;6;5;6;14;12;1;3;2;2;5;4;0;7;1;3;2;3;0;5;2;1;1;1;1;8;3;3;8;4;1;1;1;2;3;1;3;1;3;0;0;1;0;1;1;5;5;5;3;2;1;0;3;0
m_radutskyi;Михайло Радуцький;0;0;0;2;2;4;0;2;1;1;0;3;1;1;1;0;0;0;2;0;9;4;10;11;1;0;1;1;2;0;1;4;5;1;2;3;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;1;1;1;0;0;0;1;2;0;0;1;3;0;0;0;0;0;0;1;0;0;2;6;7;0;1;0;0;3;2;2;3;0;2;2;0;4;1;4;2;1;0;0;0;0;1;1;0;1;1;3;0;2;3;0;0;0;0;0;2;0;1;0;0;0;0;2;4;0;1;2;0;1;1;1
a_sadovyi;Андрій Садовий;0;0;0;1;2;1;0;3;2;0;2;1;2;4;1;1;1;1;1;0;4;1;3;1;0;1;0;2;1;2;1;1;1;0;2;3;0;0;0;0;1;0;0;0;2;2;1;1;0;1;0;1;0;2;0;2;0;0;2;0;2;0;3;1;2;2;0;0;0;1;2;0;0;2;2;1;0;1;2;2;2;1;3;2;0;0;0;2;1;4;0;1;0;3;5;2;0;1;0;3;1;2;0;1;0;0;2;0;2;0;0;0;1;0;0;1;0;2;1;1;0;0;0;1;0;0
p_poroshenko;Петро Порошенко;0;0;0;1;4;3;0;0;0;0;0;1;0;0;0;4;2;1;0;0;2;0;0;0;1;0;3;0;0;0;0;0;0;0;2;4;2;0;1;0;0;0;1;0;3;1;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;1;0;0;0;0;0;0;0;0;0;0;2;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;2;4;0;0;1;0;0;0;0;1;0;0;0;2;0;0;2;0;0;0
d_kuleba;Дмитро Кулеба;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;3;0;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0
o_danilov;Олексій Данілов;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;2;2;0;0;1;0;0;0;0;0;0;0;1;1;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
