image_name,name,Економічна правда; позитивні,Економічна правда; нейтральні,Економічна правда; негативні,Економічна правда; загалом,РБК-Україна; позитивні,РБК-Україна; нейтральні,РБК-Україна; негативні,РБК-Україна; загалом,Українська правда; позитивні,Українська правда; нейтральні,Українська правда; негативні,Українська правда; загалом,ZIK; позитивні,ZIK; нейтральні,ZIK; негативні,ZIK; загалом,LIGA.net; позитивні,LIGA.net; нейтральні,LIGA.net; негативні,LIGA.net; загалом,Obozrevatel; позитивні,Obozrevatel; нейтральні,Obozrevatel; негативні,Obozrevatel; загалом,24 канал; позитивні,24 канал; нейтральні,24 канал; негативні,24 канал; загалом,УНІАН; позитивні,УНІАН; нейтральні,УНІАН; негативні,УНІАН; загалом,LB.ua; позитивні,LB.ua; нейтральні,LB.ua; негативні,LB.ua; загалом,ТСН; позитивні,ТСН; нейтральні,ТСН; негативні,ТСН; загалом,Сьогодні; позитивні,Сьогодні; нейтральні,Сьогодні; негативні,Сьогодні; загалом,Гордон; позитивні,Гордон; нейтральні,Гордон; негативні,Гордон; загалом,УНН; позитивні,УНН; нейтральні,УНН; негативні,УНН; загалом,Апостроф; позитивні,Апостроф; нейтральні,Апостроф; негативні,Апостроф; загалом,Українські новини; позитивні,Українські новини; нейтральні,Українські новини; негативні,Українські новини; загалом,Страна.ua; позитивні,Страна.ua; нейтральні,Страна.ua; негативні,Страна.ua; загалом,Радіо Свобода; позитивні,Радіо Свобода; нейтральні,Радіо Свобода; негативні,Радіо Свобода; загалом,Фокус; позитивні,Фокус; нейтральні,Фокус; негативні,Фокус; загалом,Інтерфакс-Україна; позитивні,Інтерфакс-Україна; нейтральні,Інтерфакс-Україна; негативні,Інтерфакс-Україна; загалом,112.ua; позитивні,112.ua; нейтральні,112.ua; негативні,112.ua; загалом,ZN.UA; позитивні,ZN.UA; нейтральні,ZN.UA; негативні,ZN.UA; загалом,Znaj.ua; позитивні,Znaj.ua; нейтральні,Znaj.ua; негативні,Znaj.ua; загалом,Politeka; позитивні,Politeka; нейтральні,Politeka; негативні,Politeka; загалом,Громадське; позитивні,Громадське; нейтральні,Громадське; негативні,Громадське; загалом,Факти ICTV; позитивні,Факти ICTV; нейтральні,Факти ICTV; негативні,Факти ICTV; загалом,Главком; позитивні,Главком; нейтральні,Главком; негативні,Главком; загалом,Цензор.НЕТ; позитивні,Цензор.НЕТ; нейтральні,Цензор.НЕТ; негативні,Цензор.НЕТ; загалом,Корреспондент.net; позитивні,Корреспондент.net; нейтральні,Корреспондент.net; негативні,Корреспондент.net; загалом,Вголос; позитивні,Вголос; нейтральні,Вголос; негативні,Вголос; загалом,НВ; позитивні,НВ; нейтральні,НВ; негативні,НВ; загалом,Gazeta.ua; позитивні,Gazeta.ua; нейтральні,Gazeta.ua; негативні,Gazeta.ua; загалом,Zaxid.net; позитивні,Zaxid.net; нейтральні,Zaxid.net; негативні,Zaxid.net; загалом,Суспільне; позитивні,Суспільне; нейтральні,Суспільне; негативні,Суспільне; загалом,Укрінформ; позитивні,Укрінформ; нейтральні,Укрінформ; негативні,Укрінформ; загалом,ГолосUA; позитивні,ГолосUA; нейтральні,ГолосUA; негативні,ГолосUA; загалом,Букви; позитивні,Букви; нейтральні,Букви; негативні,Букви; загалом,КП в Украине; позитивні,КП в Украине; нейтральні,КП в Украине; негативні,КП в Украине; загалом,Факти; позитивні,Факти; нейтральні,Факти; негативні,Факти; загалом,Телеграф; позитивні,Телеграф; нейтральні,Телеграф; негативні,Телеграф; загалом,Вести; позитивні,Вести; нейтральні,Вести; негативні,Вести; загалом,Еспресо ТВ; позитивні,Еспресо ТВ; нейтральні,Еспресо ТВ; негативні,Еспресо ТВ; загалом,Бабель; позитивні,Бабель; нейтральні,Бабель; негативні,Бабель; загалом
d_shmyhal,Денис Шмигаль,4,29,4,37,1,36,6,43,0,0,1,1,0,27,4,31,2,28,8,38,1,59,17,77,2,33,10,45,3,25,4,32,2,18,1,21,0,10,0,10,1,25,7,33,1,23,9,33,2,37,3,42,0,7,4,11,5,49,5,59,1,12,4,17,0,7,3,10,3,14,5,22,2,22,5,29,1,19,2,22,0,11,4,15,0,24,13,37,1,19,14,34,0,7,3,10,0,17,2,19,3,56,8,67,14,38,5,57,2,21,1,24,0,9,0,9,7,31,2,40,0,18,2,20,0,2,0,2,0,12,0,12,8,51,7,66,10,31,4,45,1,6,4,11,4,14,3,21,2,7,2,11,1,7,1,9,2,36,9,47,0,18,1,19,0,7,0,7
v_zelenskyi,Володимир Зеленський,2,24,3,29,2,28,3,33,0,5,1,6,1,9,2,12,1,24,2,27,5,36,14,55,9,40,3,52,2,23,5,30,0,14,1,15,0,3,1,4,2,25,4,31,3,27,7,37,4,34,3,41,0,12,4,16,7,25,6,38,0,7,3,10,1,5,1,7,1,10,3,14,6,27,2,35,1,15,2,18,1,18,6,25,2,24,12,38,4,12,10,26,0,9,2,11,1,8,1,10,3,85,14,102,8,17,9,34,0,24,1,25,0,4,0,4,6,40,6,52,0,16,2,18,0,3,1,4,1,9,0,10,6,38,3,47,2,18,0,20,4,15,2,21,6,19,2,27,1,5,2,8,0,7,2,9,8,31,8,47,0,14,2,16,0,6,1,7
s_marchenko,Сергій Марченко,1,11,1,13,1,8,2,11,1,2,0,3,2,7,0,9,0,11,3,14,1,5,4,10,2,13,2,17,2,7,0,9,0,4,0,4,0,2,2,4,2,17,2,21,3,17,0,20,0,5,0,5,0,0,0,0,0,5,1,6,0,1,1,2,1,1,0,2,0,3,2,5,0,6,0,6,0,5,0,5,2,8,0,10,0,4,1,5,0,1,1,2,0,0,0,0,0,2,0,2,1,16,0,17,2,10,1,13,1,6,0,7,0,0,1,1,1,13,1,15,1,2,2,5,0,0,0,0,0,3,0,3,2,23,1,26,2,3,0,5,2,2,0,4,1,2,0,3,0,2,0,2,0,2,1,3,1,3,2,6,1,6,0,7,1,2,0,3
m_lazebna,Марина Лазебна,0,4,0,4,1,16,2,19,1,0,1,2,0,10,1,11,0,7,1,8,0,17,2,19,0,7,2,9,0,4,1,5,0,2,0,2,0,2,1,3,0,5,0,5,0,7,1,8,0,3,0,3,0,4,3,7,0,10,2,12,0,1,0,1,0,1,0,1,0,1,2,3,1,3,0,4,1,3,1,5,0,7,1,8,2,14,3,19,0,3,0,3,0,1,0,1,0,5,0,5,0,20,2,22,2,7,2,11,0,5,1,6,0,3,0,3,0,9,0,9,0,4,0,4,0,0,0,0,1,1,0,2,0,4,1,5,1,7,2,10,0,1,0,1,1,3,0,4,1,5,0,6,0,0,1,1,2,9,1,12,1,5,2,8,0,1,0,1
y_vitrenko,Юрій Вітренко,2,5,0,7,0,5,1,6,0,0,0,0,1,4,0,5,2,8,0,10,0,7,3,10,0,4,1,5,0,4,1,5,1,6,0,7,0,0,0,0,1,5,0,6,1,9,2,12,0,0,0,0,0,1,1,2,1,8,4,13,1,5,1,7,0,0,0,0,0,5,2,7,0,14,1,15,0,3,0,3,0,5,1,6,1,9,1,11,1,6,1,8,0,1,0,1,0,3,0,3,1,13,0,14,2,3,0,5,0,4,1,5,0,1,0,1,1,7,1,9,0,1,0,1,1,0,0,1,0,3,0,3,1,6,2,9,3,3,2,8,0,0,0,0,0,0,1,1,1,0,1,2,0,0,0,0,2,6,2,10,0,3,0,3,0,2,0,2
v_kryklii,Владислав Криклій,1,12,0,13,0,7,0,7,0,0,0,0,0,3,0,3,1,10,0,11,0,7,1,8,0,5,0,5,0,13,0,13,0,2,0,2,0,0,0,0,0,1,0,1,0,4,0,4,0,1,0,1,0,2,0,2,1,3,0,4,1,2,0,3,0,1,0,1,0,0,2,2,0,5,0,5,0,1,0,1,0,5,0,5,3,5,0,8,0,5,0,5,0,2,0,2,0,4,0,4,0,8,0,8,0,0,1,1,0,6,0,6,0,0,0,0,0,7,0,7,0,2,0,2,0,1,0,1,0,3,0,3,4,20,0,24,0,1,2,3,0,3,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,4,1,7,0,8,0,1,0,1
d_hetmantsev,Данило Гетманцев,0,0,0,0,2,3,0,5,0,0,0,0,0,2,0,2,1,3,0,4,2,6,3,11,2,7,0,9,0,2,0,2,0,1,0,1,0,1,0,1,2,2,0,4,2,3,0,5,1,0,0,1,0,4,1,5,2,4,1,7,0,0,2,2,0,0,0,0,0,1,1,2,1,5,0,6,1,3,1,5,0,1,0,1,1,4,1,6,1,2,1,4,0,0,0,0,0,1,0,1,3,22,6,31,3,3,2,8,0,1,0,1,0,0,0,0,1,5,1,7,1,2,1,4,0,0,0,0,0,1,0,1,0,1,0,1,0,4,0,4,2,2,0,4,0,2,1,3,2,1,0,3,1,1,0,2,3,7,5,15,2,2,0,4,0,0,0,0
i_petrashko,Ігор Петрашко,1,8,2,11,0,5,0,5,0,1,0,1,0,2,0,2,0,2,1,3,0,7,0,7,1,4,2,7,0,8,1,9,0,2,1,3,0,0,0,0,0,0,0,0,1,0,1,2,1,5,1,7,0,0,0,0,2,2,0,4,0,1,0,1,0,1,0,1,0,0,0,0,0,6,0,6,0,2,1,3,1,3,0,4,0,3,0,3,1,1,0,2,0,0,0,0,0,1,1,2,0,13,1,14,0,3,1,4,0,2,4,6,0,0,0,0,0,4,0,4,0,2,0,2,0,0,0,0,0,2,0,2,1,15,1,17,0,1,1,2,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,3,0,4,0,4,1,5,0,0,0,0
o_danilov,Олексій Данілов,1,2,0,3,0,4,0,4,0,0,0,0,0,0,0,0,2,3,0,5,0,1,0,1,0,2,1,3,0,2,0,2,0,1,0,1,0,0,0,0,0,1,0,1,0,2,0,2,0,0,1,1,0,0,0,0,2,8,1,11,0,1,0,1,1,1,0,2,0,2,0,2,0,4,1,5,0,0,0,0,0,3,1,4,0,2,0,2,0,1,1,2,0,1,0,1,0,1,0,1,0,7,0,7,2,4,1,7,0,0,0,0,0,1,0,1,0,12,1,13,0,0,0,0,0,2,0,2,0,0,0,0,0,1,1,2,3,3,0,6,0,0,0,0,0,1,1,2,0,0,0,0,0,2,0,2,0,7,0,7,0,0,0,0,0,0,0,0
v_medvedchuk,Віктор Медведчук,0,3,0,3,0,1,0,1,1,2,0,3,0,1,0,1,1,1,4,6,2,2,2,6,1,1,1,3,0,0,0,0,0,3,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2,1,1,0,2,0,1,0,1,0,1,0,1,0,0,0,0,1,2,1,4,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,3,0,0,0,0,0,1,0,1,0,11,4,15,1,2,0,3,0,0,0,0,0,2,0,2,0,1,1,2,1,1,0,2,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,2,1,3,2,1,0,3,1,1,0,2
