image_name;name;Економічна правда:позитивні;Економічна правда:нейтральні;Економічна правда:негативні;РБК-Україна:позитивні;РБК-Україна:нейтральні;РБК-Україна:негативні;Українська правда:позитивні;Українська правда:нейтральні;Українська правда:негативні;ZIK:позитивні;ZIK:нейтральні;ZIK:негативні;LIGA.net:позитивні;LIGA.net:нейтральні;LIGA.net:негативні;Obozrevatel:позитивні;Obozrevatel:нейтральні;Obozrevatel:негативні;24 канал:позитивні;24 канал:нейтральні;24 канал:негативні;УНІАН:позитивні;УНІАН:нейтральні;УНІАН:негативні;LB.ua:позитивні;LB.ua:нейтральні;LB.ua:негативні;ТСН:позитивні;ТСН:нейтральні;ТСН:негативні;Сьогодні:позитивні;Сьогодні:нейтральні;Сьогодні:негативні;Гордон:позитивні;Гордон:нейтральні;Гордон:негативні;УНН:позитивні;УНН:нейтральні;УНН:негативні;Апостроф:позитивні;Апостроф:нейтральні;Апостроф:негативні;Українські новини:позитивні;Українські новини:нейтральні;Українські новини:негативні;Страна.ua:позитивні;Страна.ua:нейтральні;Страна.ua:негативні;Радіо Свобода:позитивні;Радіо Свобода:нейтральні;Радіо Свобода:негативні;Фокус:позитивні;Фокус:нейтральні;Фокус:негативні;Інтерфакс-Україна:позитивні;Інтерфакс-Україна:нейтральні;Інтерфакс-Україна:негативні;112.ua:позитивні;112.ua:нейтральні;112.ua:негативні;ZN.UA:позитивні;ZN.UA:нейтральні;ZN.UA:негативні;Znaj.ua:позитивні;Znaj.ua:нейтральні;Znaj.ua:негативні;Politeka:позитивні;Politeka:нейтральні;Politeka:негативні;Громадське:позитивні;Громадське:нейтральні;Громадське:негативні;Факти ICTV:позитивні;Факти ICTV:нейтральні;Факти ICTV:негативні;Главком:позитивні;Главком:нейтральні;Главком:негативні;Цензор.НЕТ:позитивні;Цензор.НЕТ:нейтральні;Цензор.НЕТ:негативні;Корреспондент.net:позитивні;Корреспондент.net:нейтральні;Корреспондент.net:негативні;Вголос:позитивні;Вголос:нейтральні;Вголос:негативні;НВ:позитивні;НВ:нейтральні;НВ:негативні;Gazeta.ua:позитивні;Gazeta.ua:нейтральні;Gazeta.ua:негативні;Zaxid.net:позитивні;Zaxid.net:нейтральні;Zaxid.net:негативні;Суспільне:позитивні;Суспільне:нейтральні;Суспільне:негативні;Укрінформ:позитивні;Укрінформ:нейтральні;Укрінформ:негативні;ГолосUA:позитивні;ГолосUA:нейтральні;ГолосUA:негативні;Букви:позитивні;Букви:нейтральні;Букви:негативні;КП в Украине:позитивні;КП в Украине:нейтральні;КП в Украине:негативні;Факти:позитивні;Факти:нейтральні;Факти:негативні;Телеграф:позитивні;Телеграф:нейтральні;Телеграф:негативні;Вести:позитивні;Вести:нейтральні;Вести:негативні;Еспресо ТВ:позитивні;Еспресо ТВ:нейтральні;Еспресо ТВ:негативні;Бабель:позитивні;Бабель:нейтральні;Бабель:негативні
a_herashchenko;Антон Геращенко;0;0;0;0;0;3;0;0;3;0;0;4;1;1;5;1;0;9;0;0;4;0;0;8;0;0;6;0;0;0;0;0;7;0;0;16;1;0;16;0;0;1;0;0;7;1;0;14;0;0;3;0;2;3;0;0;6;0;0;4;0;0;1;0;1;1;0;0;2;0;0;2;0;0;4;0;0;11;0;1;12;0;0;3;0;0;2;0;0;12;0;1;6;0;0;1;0;0;1;0;0;6;1;0;3;0;0;11;0;1;3;0;0;1;0;0;3;0;2;14;0;0;0;0;0;4
v_zelenskyi;Володимир Зеленський;0;0;1;0;0;2;0;0;3;0;0;1;1;1;7;1;0;0;1;1;10;0;0;22;0;0;2;0;0;1;0;0;4;0;0;4;0;2;0;0;0;1;0;0;6;0;0;10;0;0;3;1;0;0;0;0;3;0;1;2;0;0;3;0;0;0;0;1;0;0;0;3;0;0;2;3;2;7;1;3;7;0;2;3;0;0;2;1;0;11;0;1;4;0;0;1;0;0;3;0;0;1;0;0;3;0;2;6;0;0;4;0;2;2;0;1;3;0;1;6;0;1;3;0;1;5
v_medvedchuk;Віктор Медведчук;0;0;2;0;0;7;0;1;5;0;0;1;0;1;0;0;0;8;0;1;6;1;0;8;0;1;4;0;0;1;1;0;5;0;0;5;0;0;0;0;3;7;0;0;0;0;0;1;0;1;1;0;0;1;0;0;3;0;0;1;0;0;3;0;0;0;0;0;0;0;0;8;0;0;3;0;0;8;0;1;4;0;1;4;0;1;1;0;1;3;0;2;5;0;2;2;0;0;6;0;0;4;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;1;4;0;1;4
a_avakov;Арсен Аваков;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;8;0;0;6;0;0;0;0;0;0;0;0;1;0;0;6;0;0;0;0;0;1;0;0;0;0;0;4;0;0;13;0;0;2;0;1;3;0;0;1;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;8;2;1;3;0;1;2;0;0;0;0;0;3;0;0;2;0;0;3;0;0;1;0;0;2;0;0;0;0;0;7;0;0;1;0;0;0;0;0;2;0;0;1;0;0;1;0;0;2
i_venediktova;Ірина Венедіктова;0;0;1;0;0;2;0;3;2;0;0;1;0;1;0;0;0;1;1;1;5;0;0;7;0;0;0;0;0;1;0;0;2;0;0;3;0;0;4;0;0;1;1;0;0;0;0;0;0;0;14;0;0;0;0;0;1;0;0;1;0;0;7;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;2;0
o_nikolenko;Олег Ніколенко;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;2;0;0;2;0;0;1;0;0;1;0;0;0;0;0;3;0;1;3;0;1;3;0;0;0;0;1;2;0;0;3;0;0;0;0;0;1;0;0;4;0;0;2;0;0;2;0;0;0;0;0;1;0;0;1;0;0;1;0;0;2;1;1;4;0;0;1;0;0;0;0;0;1;0;0;4;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1
o_tatarov;Олег Татаров;0;0;0;0;0;0;0;1;2;0;0;0;0;0;5;0;0;1;0;0;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2
p_poroshenko;Петро Порошенко;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;0;0;0;0;0;0;2;0;0;7;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;5;0;0;0;0;0;3
d_kuleba;Дмитро Кулеба;0;0;0;0;0;1;1;0;0;0;1;0;0;0;2;0;0;0;0;0;4;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;1;0;0;0;1;0;1;2;0;0;1;0;0;0;0;1;0;0;0;1;0;0;2;0;0;2;0;1;4;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1
i_bakanov;Іван Баканов;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
