image_name;name;Економічна правда:позитивні;Економічна правда:нейтральні;Економічна правда:негативні;РБК-Україна:позитивні;РБК-Україна:нейтральні;РБК-Україна:негативні;Українська правда:позитивні;Українська правда:нейтральні;Українська правда:негативні;ZIK:позитивні;ZIK:нейтральні;ZIK:негативні;LIGA.net:позитивні;LIGA.net:нейтральні;LIGA.net:негативні;Obozrevatel:позитивні;Obozrevatel:нейтральні;Obozrevatel:негативні;24 канал:позитивні;24 канал:нейтральні;24 канал:негативні;УНІАН:позитивні;УНІАН:нейтральні;УНІАН:негативні;LB.ua:позитивні;LB.ua:нейтральні;LB.ua:негативні;ТСН:позитивні;ТСН:нейтральні;ТСН:негативні;Сьогодні:позитивні;Сьогодні:нейтральні;Сьогодні:негативні;Гордон:позитивні;Гордон:нейтральні;Гордон:негативні;УНН:позитивні;УНН:нейтральні;УНН:негативні;Апостроф:позитивні;Апостроф:нейтральні;Апостроф:негативні;Українські новини:позитивні;Українські новини:нейтральні;Українські новини:негативні;Страна.ua:позитивні;Страна.ua:нейтральні;Страна.ua:негативні;Радіо Свобода:позитивні;Радіо Свобода:нейтральні;Радіо Свобода:негативні;Фокус:позитивні;Фокус:нейтральні;Фокус:негативні;Інтерфакс-Україна:позитивні;Інтерфакс-Україна:нейтральні;Інтерфакс-Україна:негативні;112.ua:позитивні;112.ua:нейтральні;112.ua:негативні;ZN.UA:позитивні;ZN.UA:нейтральні;ZN.UA:негативні;Znaj.ua:позитивні;Znaj.ua:нейтральні;Znaj.ua:негативні;Politeka:позитивні;Politeka:нейтральні;Politeka:негативні;Громадське:позитивні;Громадське:нейтральні;Громадське:негативні;Факти ICTV:позитивні;Факти ICTV:нейтральні;Факти ICTV:негативні;Главком:позитивні;Главком:нейтральні;Главком:негативні;Цензор.НЕТ:позитивні;Цензор.НЕТ:нейтральні;Цензор.НЕТ:негативні;Корреспондент.net:позитивні;Корреспондент.net:нейтральні;Корреспондент.net:негативні;Вголос:позитивні;Вголос:нейтральні;Вголос:негативні;НВ:позитивні;НВ:нейтральні;НВ:негативні;Gazeta.ua:позитивні;Gazeta.ua:нейтральні;Gazeta.ua:негативні;Zaxid.net:позитивні;Zaxid.net:нейтральні;Zaxid.net:негативні;Суспільне:позитивні;Суспільне:нейтральні;Суспільне:негативні;Укрінформ:позитивні;Укрінформ:нейтральні;Укрінформ:негативні;ГолосUA:позитивні;ГолосUA:нейтральні;ГолосUA:негативні;Букви:позитивні;Букви:нейтральні;Букви:негативні;КП в Украине:позитивні;КП в Украине:нейтральні;КП в Украине:негативні;Факти:позитивні;Факти:нейтральні;Факти:негативні;Телеграф:позитивні;Телеграф:нейтральні;Телеграф:негативні;Вести:позитивні;Вести:нейтральні;Вести:негативні;Еспресо ТВ:позитивні;Еспресо ТВ:нейтральні;Еспресо ТВ:негативні;Бабель:позитивні;Бабель:нейтральні;Бабель:негативні
v_zelenskyi;Володимир Зеленський;2;6;3;28;55;43;15;24;36;13;24;87;17;29;37;32;50;71;58;82;146;25;38;49;21;23;39;1;10;11;21;31;46;48;68;150;32;39;71;15;22;45;37;32;38;50;41;70;10;23;25;39;20;31;50;47;51;23;39;106;25;37;79;20;25;26;5;10;16;12;5;19;18;25;19;49;58;114;80;62;90;27;30;29;4;22;17;44;30;107;22;35;73;9;6;19;13;26;22;71;51;54;54;42;96;15;24;72;49;23;56;19;20;22;25;23;41;94;49;98;21;43;59;6;24;29
v_medvedchuk;Віктор Медведчук;0;0;1;1;13;16;1;6;14;8;10;72;1;6;24;3;14;37;10;29;55;5;12;28;1;2;8;0;4;3;0;6;6;9;12;62;2;3;4;1;8;23;4;2;11;5;4;13;2;3;18;10;6;18;1;10;11;9;11;69;1;9;34;0;1;1;1;0;5;1;4;12;0;1;0;4;24;51;6;9;32;0;1;2;0;2;2;10;23;50;4;11;28;0;2;10;1;4;6;0;8;18;29;20;67;2;3;15;14;6;21;2;5;10;10;16;30;24;22;38;1;9;11;1;8;15
p_poroshenko;Петро Порошенко;0;0;0;4;6;11;2;6;11;3;2;16;1;4;3;8;9;26;8;15;47;0;3;18;2;8;25;0;1;4;0;2;8;7;17;48;3;3;3;0;7;15;14;8;22;10;16;38;0;1;8;8;2;12;5;7;16;2;2;12;5;7;21;3;3;8;2;2;8;0;3;4;1;2;1;5;11;40;10;7;19;0;1;4;0;0;3;10;9;33;4;7;19;1;0;8;1;2;0;2;5;6;11;7;21;2;7;34;10;4;20;3;0;8;6;7;7;23;13;36;1;5;16;1;3;20
o_danilov;Олексій Данілов;0;4;1;0;9;13;0;4;9;0;5;8;1;4;13;0;8;15;2;14;25;2;9;20;0;3;4;0;0;1;0;6;6;1;5;26;0;11;8;0;3;11;5;13;9;4;6;9;0;8;6;4;6;11;1;9;9;0;6;9;0;6;10;0;2;1;0;1;1;0;3;2;0;6;5;2;5;16;7;17;10;0;4;5;0;5;2;8;8;20;0;2;7;0;1;8;0;1;1;0;7;17;4;4;13;0;7;4;3;3;10;1;1;1;3;3;4;12;7;6;0;6;11;0;5;5
d_razumkov;Дмитро Разумков;0;1;1;1;18;9;2;10;2;0;2;5;3;4;0;2;10;6;2;10;13;2;13;9;2;9;6;0;3;0;1;7;5;6;6;14;3;16;9;0;2;3;5;11;4;7;9;6;0;3;1;7;4;4;7;19;5;1;11;5;3;12;4;2;6;6;2;1;5;0;0;2;1;1;2;2;7;9;12;25;6;1;8;6;1;3;1;5;7;4;3;13;6;0;0;2;2;2;2;7;31;11;4;8;2;0;3;2;6;8;0;2;1;0;3;2;2;11;11;5;0;20;3;1;3;2
a_avakov;Арсен Аваков;0;0;0;2;9;7;5;1;11;0;0;3;2;4;4;7;4;20;5;9;25;1;4;10;4;1;5;0;4;7;1;4;7;5;9;23;2;3;3;0;1;0;9;7;7;10;5;7;0;3;2;2;2;4;4;5;9;2;3;2;4;3;11;0;1;0;0;1;0;1;3;5;2;1;3;3;11;13;7;9;10;0;1;1;0;1;3;7;5;7;2;5;14;1;1;3;0;1;3;5;6;10;4;2;2;2;2;4;5;1;7;1;2;6;2;2;0;14;5;4;1;5;9;2;4;17
o_korniienko;Олександр Корнієнко;1;3;0;4;7;6;0;7;5;0;1;1;2;4;3;1;3;5;3;10;14;1;7;8;1;8;5;0;3;1;0;3;6;3;13;17;0;6;11;0;0;2;0;4;3;3;8;8;1;2;6;2;5;4;2;19;9;1;3;4;0;8;7;0;1;0;0;1;0;2;1;2;0;3;3;2;5;12;6;22;8;1;3;1;0;1;0;5;14;11;1;6;5;0;2;0;1;6;4;1;11;9;3;3;2;1;7;5;5;3;5;1;0;0;0;1;1;12;11;6;1;4;3;0;5;3
a_yermak;Андрій Єрмак;0;0;0;0;4;4;2;3;5;0;0;2;1;2;5;1;5;7;4;11;20;0;2;7;1;0;6;0;0;1;1;1;4;5;4;28;0;3;3;0;2;6;2;2;4;5;5;5;0;1;1;7;1;5;2;3;3;1;2;7;1;3;12;0;6;1;0;0;4;2;0;1;1;1;2;5;2;14;5;5;13;1;1;5;0;0;0;4;0;18;2;2;7;0;0;3;1;0;3;4;1;7;1;1;5;3;3;17;2;0;1;3;0;7;1;3;8;8;2;12;3;5;11;0;2;6
d_shmyhal;Денис Шмигаль;0;4;3;4;7;2;1;6;2;1;2;2;0;3;0;0;6;10;12;9;11;1;3;0;2;2;2;0;0;0;1;4;2;5;3;10;4;11;11;0;0;4;0;4;5;0;2;6;1;1;1;2;1;1;6;9;5;5;3;6;3;6;2;4;3;6;3;2;4;0;0;0;1;5;1;5;5;4;3;3;2;3;7;2;0;0;1;2;1;4;2;4;4;0;0;0;1;3;1;17;20;4;3;2;5;0;0;0;6;0;2;0;0;0;1;0;0;5;4;1;3;12;6;1;1;0
d_arakhamiia;Давид Арахамія;0;1;1;1;4;2;0;5;2;0;1;1;0;3;2;1;6;6;5;8;18;0;5;6;0;5;1;0;4;2;1;7;5;2;1;11;1;5;4;1;1;5;2;6;3;3;8;5;0;3;4;3;3;6;0;7;3;0;3;3;0;3;2;0;0;0;0;0;0;2;0;1;0;3;0;2;6;6;5;10;6;0;3;3;0;2;0;3;6;10;0;3;5;0;2;1;1;2;2;0;6;6;2;3;3;0;4;10;0;2;2;1;0;0;1;1;3;7;6;6;1;6;4;0;2;3
