image_name,name,Економічна правда; позитивні,Економічна правда; нейтральні,Економічна правда; негативні,Економічна правда; загалом,РБК-Україна; позитивні,РБК-Україна; нейтральні,РБК-Україна; негативні,РБК-Україна; загалом,Українська правда; позитивні,Українська правда; нейтральні,Українська правда; негативні,Українська правда; загалом,ZIK; позитивні,ZIK; нейтральні,ZIK; негативні,ZIK; загалом,LIGA.net; позитивні,LIGA.net; нейтральні,LIGA.net; негативні,LIGA.net; загалом,Obozrevatel; позитивні,Obozrevatel; нейтральні,Obozrevatel; негативні,Obozrevatel; загалом,24 канал; позитивні,24 канал; нейтральні,24 канал; негативні,24 канал; загалом,УНІАН; позитивні,УНІАН; нейтральні,УНІАН; негативні,УНІАН; загалом,LB.ua; позитивні,LB.ua; нейтральні,LB.ua; негативні,LB.ua; загалом,ТСН; позитивні,ТСН; нейтральні,ТСН; негативні,ТСН; загалом,Сьогодні; позитивні,Сьогодні; нейтральні,Сьогодні; негативні,Сьогодні; загалом,Гордон; позитивні,Гордон; нейтральні,Гордон; негативні,Гордон; загалом,УНН; позитивні,УНН; нейтральні,УНН; негативні,УНН; загалом,Апостроф; позитивні,Апостроф; нейтральні,Апостроф; негативні,Апостроф; загалом,Українські новини; позитивні,Українські новини; нейтральні,Українські новини; негативні,Українські новини; загалом,Страна.ua; позитивні,Страна.ua; нейтральні,Страна.ua; негативні,Страна.ua; загалом,Радіо Свобода; позитивні,Радіо Свобода; нейтральні,Радіо Свобода; негативні,Радіо Свобода; загалом,Фокус; позитивні,Фокус; нейтральні,Фокус; негативні,Фокус; загалом,Інтерфакс-Україна; позитивні,Інтерфакс-Україна; нейтральні,Інтерфакс-Україна; негативні,Інтерфакс-Україна; загалом,112.ua; позитивні,112.ua; нейтральні,112.ua; негативні,112.ua; загалом,ZN.UA; позитивні,ZN.UA; нейтральні,ZN.UA; негативні,ZN.UA; загалом,Znaj.ua; позитивні,Znaj.ua; нейтральні,Znaj.ua; негативні,Znaj.ua; загалом,Politeka; позитивні,Politeka; нейтральні,Politeka; негативні,Politeka; загалом,Громадське; позитивні,Громадське; нейтральні,Громадське; негативні,Громадське; загалом,Факти ICTV; позитивні,Факти ICTV; нейтральні,Факти ICTV; негативні,Факти ICTV; загалом,Главком; позитивні,Главком; нейтральні,Главком; негативні,Главком; загалом,Цензор.НЕТ; позитивні,Цензор.НЕТ; нейтральні,Цензор.НЕТ; негативні,Цензор.НЕТ; загалом,Корреспондент.net; позитивні,Корреспондент.net; нейтральні,Корреспондент.net; негативні,Корреспондент.net; загалом,Вголос; позитивні,Вголос; нейтральні,Вголос; негативні,Вголос; загалом,НВ; позитивні,НВ; нейтральні,НВ; негативні,НВ; загалом,Gazeta.ua; позитивні,Gazeta.ua; нейтральні,Gazeta.ua; негативні,Gazeta.ua; загалом,Zaxid.net; позитивні,Zaxid.net; нейтральні,Zaxid.net; негативні,Zaxid.net; загалом,Суспільне; позитивні,Суспільне; нейтральні,Суспільне; негативні,Суспільне; загалом,Укрінформ; позитивні,Укрінформ; нейтральні,Укрінформ; негативні,Укрінформ; загалом,ГолосUA; позитивні,ГолосUA; нейтральні,ГолосUA; негативні,ГолосUA; загалом,Букви; позитивні,Букви; нейтральні,Букви; негативні,Букви; загалом,КП в Украине; позитивні,КП в Украине; нейтральні,КП в Украине; негативні,КП в Украине; загалом,Факти; позитивні,Факти; нейтральні,Факти; негативні,Факти; загалом,Телеграф; позитивні,Телеграф; нейтральні,Телеграф; негативні,Телеграф; загалом,Вести; позитивні,Вести; нейтральні,Вести; негативні,Вести; загалом,Еспресо ТВ; позитивні,Еспресо ТВ; нейтральні,Еспресо ТВ; негативні,Еспресо ТВ; загалом,Бабель; позитивні,Бабель; нейтральні,Бабель; негативні,Бабель; загалом
v_zelenskyi,Володимир Зеленський,3,41,7,51,26,219,50,295,14,102,26,142,15,114,66,195,16,176,41,233,27,253,83,363,59,435,124,618,28,230,64,322,15,148,23,186,2,67,12,81,22,153,47,222,46,323,107,476,37,252,66,355,15,113,41,169,36,169,67,272,26,203,85,314,12,93,32,137,26,124,44,194,39,192,50,281,18,188,86,292,31,232,60,323,19,133,47,199,10,60,29,99,6,98,34,138,15,97,22,134,45,601,196,842,91,226,124,441,14,173,22,209,5,67,10,82,49,329,102,480,19,208,43,270,3,57,14,74,9,119,21,149,47,296,51,394,59,181,84,324,21,158,45,224,51,163,62,276,15,56,34,105,20,97,70,187,49,324,139,512,16,148,55,219,4,85,25,114
m_stepanov,Максим Степанов,1,4,0,5,6,173,24,203,6,66,19,91,3,61,12,76,7,103,14,124,12,153,44,209,11,183,40,234,8,151,37,196,1,60,9,70,4,96,13,113,7,140,31,178,8,191,35,234,16,246,34,296,3,68,10,81,8,60,17,85,8,83,40,131,2,68,14,84,14,62,35,111,7,81,16,104,2,121,26,149,18,252,44,314,3,30,4,37,1,5,6,12,2,88,19,109,9,100,20,129,11,270,49,330,29,144,44,217,1,122,24,147,0,58,12,70,28,173,41,242,4,61,4,69,1,24,4,29,5,152,20,177,9,146,11,166,9,83,19,111,2,43,13,58,20,71,44,135,2,16,15,33,10,34,14,58,21,120,36,177,4,62,18,84,1,58,9,68
d_shmyhal,Денис Шмигаль,5,38,8,51,3,99,15,117,2,26,3,31,1,46,6,53,2,68,15,85,7,116,29,152,8,101,23,132,6,65,12,83,3,32,3,38,0,21,1,22,3,55,12,70,9,118,32,159,7,112,20,139,1,20,9,30,11,78,21,110,3,30,18,51,0,19,4,23,8,32,11,51,6,50,10,66,5,72,13,90,5,71,13,89,4,48,17,69,3,44,32,79,0,11,5,16,1,48,7,56,9,148,21,178,19,65,13,97,4,54,6,64,0,23,2,25,18,82,18,118,1,48,5,54,0,9,1,10,1,78,10,89,16,132,11,159,17,43,10,70,2,14,8,24,10,47,8,65,3,7,3,13,2,10,5,17,6,78,22,106,4,47,7,58,1,16,0,17
v_medvedchuk,Віктор Медведчук,0,5,2,7,3,41,13,57,5,25,12,42,8,58,42,108,2,30,13,45,8,60,25,93,11,104,38,153,6,44,18,68,0,25,8,33,1,10,2,13,3,12,10,25,11,70,36,117,3,8,8,19,2,35,20,57,3,28,7,38,3,26,13,42,2,24,5,31,4,36,20,60,2,38,8,48,6,59,49,114,7,50,17,74,0,5,5,10,1,5,3,9,1,13,13,27,0,5,3,8,2,95,20,117,6,51,28,85,0,10,4,14,0,13,3,16,12,86,27,125,3,54,10,67,1,16,7,24,2,14,9,25,2,32,8,42,28,64,50,142,1,23,10,34,10,38,15,63,6,13,10,29,13,39,27,79,17,72,39,128,2,27,18,47,4,27,11,42
p_poroshenko,Петро Порошенко,0,3,0,3,4,33,9,46,6,26,9,41,3,21,13,37,1,21,1,23,7,44,18,69,6,91,38,135,5,28,7,40,4,42,11,57,3,5,2,10,3,8,13,24,14,97,36,147,3,15,4,22,6,34,15,55,11,50,32,93,12,63,35,110,0,19,4,23,6,20,18,44,3,32,7,42,2,21,7,30,6,49,15,70,3,27,15,45,4,19,13,36,0,17,6,23,1,5,0,6,7,99,22,128,11,39,20,70,1,8,2,11,0,9,1,10,17,83,26,126,5,45,16,66,1,13,4,18,1,15,2,18,1,25,2,28,17,32,17,66,8,48,28,84,18,34,17,69,5,9,10,24,10,26,17,53,18,80,46,144,1,26,13,40,2,32,17,51
v_liashko,Віктор Ляшко,0,0,0,0,6,65,5,76,3,44,10,57,1,25,3,29,7,65,10,82,6,66,11,83,8,95,10,113,4,47,5,56,3,33,3,39,3,31,2,36,1,38,9,48,6,53,8,67,4,68,7,79,0,17,4,21,8,34,8,50,3,27,7,37,2,16,0,18,5,28,17,50,5,25,2,32,2,53,7,62,14,188,29,231,0,9,4,13,0,7,3,10,4,60,9,73,6,44,8,58,5,68,7,80,14,50,14,78,3,48,5,56,1,16,0,17,5,51,14,70,2,22,2,26,0,14,1,15,1,31,4,36,7,41,5,53,3,22,9,34,3,22,6,31,12,37,13,62,1,9,7,17,8,14,5,27,6,35,14,55,3,33,1,37,2,16,1,19
o_danilov,Олексій Данілов,1,9,1,11,3,33,12,48,3,13,6,22,2,15,5,22,4,25,5,34,3,35,8,46,7,63,17,87,3,47,15,65,1,16,2,19,0,3,0,3,3,15,7,25,6,66,19,91,2,32,11,45,3,20,3,26,7,36,8,51,7,28,8,43,5,21,6,32,7,20,9,36,1,33,9,43,1,18,10,29,4,36,12,52,0,9,0,9,2,7,2,11,1,11,3,15,3,18,5,26,5,39,10,54,15,43,10,68,0,13,2,15,1,9,1,11,11,50,13,74,1,22,4,27,1,18,1,20,0,14,3,17,6,33,9,48,12,20,10,42,0,17,7,24,5,25,5,35,2,6,0,8,5,16,8,29,5,38,9,52,4,19,5,28,1,11,2,14
d_razumkov,Дмитро Разумков,0,4,0,4,4,56,4,64,4,18,3,25,1,12,4,17,1,17,3,21,5,28,7,40,2,47,12,61,4,32,4,40,2,36,2,40,0,9,2,11,0,14,3,17,4,51,10,65,2,47,8,57,2,10,7,19,4,29,13,46,2,29,14,45,0,11,0,11,7,18,11,36,6,54,5,65,3,31,5,39,5,30,2,37,1,13,8,22,2,6,6,14,0,5,3,8,2,13,2,17,1,35,6,42,12,46,15,73,3,26,3,32,0,7,3,10,9,26,5,40,3,38,8,49,0,5,0,5,0,14,0,14,3,80,6,89,10,18,5,33,2,24,7,33,9,17,7,33,3,1,0,4,1,14,1,16,8,50,11,69,0,29,6,35,1,9,2,12
a_avakov,Арсен Аваков,0,1,0,1,3,29,6,38,5,28,3,36,1,3,2,6,1,15,4,20,4,23,15,42,6,52,33,91,3,36,17,56,1,13,1,15,4,8,2,14,1,19,5,25,15,63,20,98,4,14,2,20,1,5,3,9,7,25,15,47,6,26,16,48,2,16,6,24,6,13,8,27,3,19,5,27,2,11,5,18,8,33,13,54,0,6,1,7,0,4,1,5,1,8,11,20,4,9,1,14,1,64,20,85,15,23,12,50,0,10,2,12,1,6,2,9,5,22,10,37,4,43,12,59,1,8,7,16,3,8,3,14,5,33,9,47,2,11,5,18,4,42,10,56,5,13,13,31,2,4,7,13,1,11,5,17,8,32,13,53,1,17,8,26,3,30,10,43
v_klychko,Віталій Кличко,0,1,1,2,3,34,3,40,5,21,19,45,0,4,1,5,1,12,2,15,3,43,7,53,2,17,2,21,3,22,15,40,3,22,5,30,0,8,3,11,0,44,5,49,4,24,4,32,2,22,27,51,0,9,2,11,7,31,31,69,4,31,12,47,1,7,1,9,2,18,3,23,2,33,14,49,0,16,24,40,2,23,8,33,1,23,7,31,0,9,7,16,0,2,2,4,0,11,0,11,3,74,11,88,27,15,26,68,1,27,9,37,0,7,3,10,10,41,21,72,1,13,2,16,1,0,1,2,0,30,1,31,1,41,20,62,7,33,12,52,1,13,3,17,5,19,5,29,2,2,4,8,2,9,3,14,5,24,7,36,1,6,2,9,0,11,4,15
