image_name,name,Економічна правда; позитивні,Економічна правда; нейтральні,Економічна правда; негативні,Економічна правда; загалом,РБК-Україна; позитивні,РБК-Україна; нейтральні,РБК-Україна; негативні,РБК-Україна; загалом,Українська правда; позитивні,Українська правда; нейтральні,Українська правда; негативні,Українська правда; загалом,ZIK; позитивні,ZIK; нейтральні,ZIK; негативні,ZIK; загалом,LIGA.net; позитивні,LIGA.net; нейтральні,LIGA.net; негативні,LIGA.net; загалом,Obozrevatel; позитивні,Obozrevatel; нейтральні,Obozrevatel; негативні,Obozrevatel; загалом,24 канал; позитивні,24 канал; нейтральні,24 канал; негативні,24 канал; загалом,УНІАН; позитивні,УНІАН; нейтральні,УНІАН; негативні,УНІАН; загалом,LB.ua; позитивні,LB.ua; нейтральні,LB.ua; негативні,LB.ua; загалом,ТСН; позитивні,ТСН; нейтральні,ТСН; негативні,ТСН; загалом,Сьогодні; позитивні,Сьогодні; нейтральні,Сьогодні; негативні,Сьогодні; загалом,Гордон; позитивні,Гордон; нейтральні,Гордон; негативні,Гордон; загалом,УНН; позитивні,УНН; нейтральні,УНН; негативні,УНН; загалом,Апостроф; позитивні,Апостроф; нейтральні,Апостроф; негативні,Апостроф; загалом,Українські новини; позитивні,Українські новини; нейтральні,Українські новини; негативні,Українські новини; загалом,Страна.ua; позитивні,Страна.ua; нейтральні,Страна.ua; негативні,Страна.ua; загалом,Радіо Свобода; позитивні,Радіо Свобода; нейтральні,Радіо Свобода; негативні,Радіо Свобода; загалом,Фокус; позитивні,Фокус; нейтральні,Фокус; негативні,Фокус; загалом,Інтерфакс-Україна; позитивні,Інтерфакс-Україна; нейтральні,Інтерфакс-Україна; негативні,Інтерфакс-Україна; загалом,112.ua; позитивні,112.ua; нейтральні,112.ua; негативні,112.ua; загалом,ZN.UA; позитивні,ZN.UA; нейтральні,ZN.UA; негативні,ZN.UA; загалом,Znaj.ua; позитивні,Znaj.ua; нейтральні,Znaj.ua; негативні,Znaj.ua; загалом,Politeka; позитивні,Politeka; нейтральні,Politeka; негативні,Politeka; загалом,Громадське; позитивні,Громадське; нейтральні,Громадське; негативні,Громадське; загалом,Факти ICTV; позитивні,Факти ICTV; нейтральні,Факти ICTV; негативні,Факти ICTV; загалом,Главком; позитивні,Главком; нейтральні,Главком; негативні,Главком; загалом,Цензор.НЕТ; позитивні,Цензор.НЕТ; нейтральні,Цензор.НЕТ; негативні,Цензор.НЕТ; загалом,Корреспондент.net; позитивні,Корреспондент.net; нейтральні,Корреспондент.net; негативні,Корреспондент.net; загалом,Вголос; позитивні,Вголос; нейтральні,Вголос; негативні,Вголос; загалом,НВ; позитивні,НВ; нейтральні,НВ; негативні,НВ; загалом,Gazeta.ua; позитивні,Gazeta.ua; нейтральні,Gazeta.ua; негативні,Gazeta.ua; загалом,Zaxid.net; позитивні,Zaxid.net; нейтральні,Zaxid.net; негативні,Zaxid.net; загалом,Суспільне; позитивні,Суспільне; нейтральні,Суспільне; негативні,Суспільне; загалом,Укрінформ; позитивні,Укрінформ; нейтральні,Укрінформ; негативні,Укрінформ; загалом,ГолосUA; позитивні,ГолосUA; нейтральні,ГолосUA; негативні,ГолосUA; загалом,Букви; позитивні,Букви; нейтральні,Букви; негативні,Букви; загалом,КП в Украине; позитивні,КП в Украине; нейтральні,КП в Украине; негативні,КП в Украине; загалом,Факти; позитивні,Факти; нейтральні,Факти; негативні,Факти; загалом,Телеграф; позитивні,Телеграф; нейтральні,Телеграф; негативні,Телеграф; загалом,Вести; позитивні,Вести; нейтральні,Вести; негативні,Вести; загалом,Еспресо ТВ; позитивні,Еспресо ТВ; нейтральні,Еспресо ТВ; негативні,Еспресо ТВ; загалом,Бабель; позитивні,Бабель; нейтральні,Бабель; негативні,Бабель; загалом
v_zelenskyi,Володимир Зеленський,0,0,1,1,0,3,7,10,0,3,2,5,0,2,5,7,2,11,11,24,1,3,9,13,3,22,21,46,4,23,20,47,0,3,4,7,0,1,1,2,0,10,9,19,1,8,7,16,0,5,10,15,0,0,7,7,0,5,9,14,3,12,15,30,1,1,8,10,1,5,5,11,0,5,7,12,0,6,5,11,0,12,8,20,2,5,3,10,0,2,0,2,0,8,4,12,0,1,3,4,7,126,101,234,5,11,19,35,0,5,5,10,0,4,1,5,4,15,12,31,1,13,4,18,0,2,3,5,0,5,5,10,0,9,6,15,1,4,7,12,2,24,8,34,1,3,10,14,1,1,4,6,1,7,8,16,4,13,23,40,0,4,4,8,0,5,2,7
a_herashchenko,Антон Геращенко,0,0,1,1,0,2,4,6,0,4,2,6,0,2,3,5,2,4,10,16,0,14,12,26,0,9,8,17,0,13,10,23,0,6,5,11,0,1,2,3,0,6,4,10,4,25,15,44,1,16,23,40,0,1,0,1,0,3,7,10,2,14,18,34,0,1,3,4,1,4,7,12,0,6,12,18,0,4,4,8,0,2,9,11,0,0,3,3,1,1,1,3,0,0,7,7,0,1,9,10,1,10,15,26,3,6,17,26,0,6,5,11,1,1,3,5,2,6,16,24,0,3,8,11,0,0,5,5,0,4,3,7,0,4,10,14,0,4,1,5,0,11,4,15,2,2,10,14,0,1,1,2,0,2,5,7,2,6,18,26,0,0,2,2,0,4,4,8
a_avakov,Арсен Аваков,0,0,0,0,0,1,2,3,0,8,2,10,0,1,1,2,1,2,2,5,0,0,1,1,1,9,9,19,1,19,13,33,0,1,0,1,0,0,0,0,0,2,2,4,4,20,9,33,1,3,0,4,1,1,1,3,0,1,4,5,0,5,6,11,1,10,5,16,0,3,1,4,0,3,1,4,0,3,2,5,0,8,6,14,0,0,0,0,0,0,0,0,0,4,5,9,1,1,0,2,1,13,11,25,2,7,5,14,0,4,1,5,1,1,1,3,2,6,3,11,1,6,2,9,0,3,4,7,0,1,1,2,0,15,3,18,0,2,1,3,2,28,6,36,0,0,5,5,0,1,0,1,0,4,2,6,2,5,7,14,0,1,1,2,0,5,4,9
i_venediktova,Ірина Венедіктова,0,0,1,1,0,0,3,3,0,6,2,8,0,0,1,1,1,1,0,2,0,2,2,4,1,9,5,15,1,20,15,36,0,1,2,3,0,0,1,1,0,2,2,4,3,25,8,36,0,3,2,5,0,0,3,3,1,0,2,3,0,0,2,2,1,11,8,20,0,2,0,2,0,0,3,3,0,0,1,1,0,11,9,20,0,0,0,0,0,0,0,0,0,2,2,4,0,2,1,3,1,4,7,12,0,5,1,6,0,3,2,5,0,0,1,1,0,1,1,2,0,7,6,13,0,3,3,6,0,2,2,4,0,7,3,10,0,2,1,3,0,4,0,4,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,2,0,2,3,5,0,3,2,5
v_medvedchuk,Віктор Медведчук,0,0,2,2,0,1,6,7,0,1,6,7,0,0,4,4,0,1,1,2,0,5,4,9,1,1,9,11,1,3,7,11,0,5,4,9,0,0,1,1,1,1,4,6,0,3,6,9,0,0,0,0,0,4,8,12,0,0,1,1,0,1,1,2,0,1,1,2,1,2,3,6,0,0,4,4,0,0,3,3,0,0,4,4,0,0,1,1,0,0,0,0,0,4,5,9,0,1,3,4,0,3,5,8,1,3,1,5,0,2,4,6,0,1,2,3,1,2,2,5,0,3,4,7,0,0,4,4,0,2,6,8,0,3,1,4,1,1,0,2,0,2,1,3,0,1,1,2,0,0,2,2,2,1,1,4,1,2,0,3,0,2,6,8,0,2,5,7
d_kuleba,Дмитро Кулеба,0,0,0,0,0,1,0,1,0,1,1,2,0,1,1,2,0,3,1,4,1,4,1,6,0,5,4,9,0,1,2,3,0,0,2,2,0,2,1,3,0,2,1,3,0,2,0,2,0,10,10,20,0,0,1,1,0,2,0,2,1,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,2,2,4,0,0,2,2,0,2,1,3,1,1,0,2,0,4,3,7,0,6,4,10,0,3,3,6,0,1,0,1,0,2,5,7,0,5,1,6,0,3,1,4,0,3,0,3,0,3,4,7,0,0,1,1,0,1,3,4,0,2,2,4,1,0,2,3,0,1,2,3,0,1,0,1,0,0,2,2,0,2,1,3
o_nikolenko,Олег Ніколенко,0,0,0,0,0,1,3,4,0,0,1,1,0,1,1,2,0,0,1,1,0,1,2,3,0,3,4,7,1,0,3,4,0,0,1,1,0,0,2,2,0,2,3,5,0,2,4,6,0,4,3,7,0,0,0,0,0,4,2,6,0,1,2,3,0,0,2,2,0,0,3,3,0,2,3,5,0,1,4,5,0,0,2,2,5,12,7,24,0,0,2,2,0,2,2,4,0,2,1,3,0,2,1,3,0,0,6,6,0,1,0,1,0,0,2,2,0,1,2,3,0,2,4,6,0,1,1,2,0,3,0,3,0,1,0,1,1,1,2,4,0,0,1,1,0,1,3,4,0,0,1,1,0,0,1,1,0,1,2,3,0,1,1,2,0,1,1,2
p_poroshenko,Петро Порошенко,0,0,0,0,0,0,0,0,0,2,1,3,0,0,2,2,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,8,7,15,0,0,0,0,0,1,0,1,0,0,3,3,1,3,6,10,0,6,2,8,0,1,4,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,1,5,0,3,0,3,0,1,0,1,0,1,0,1,4,8,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,3,4,0,5,1,6,0,0,1,1,0,0,0,0,0,0,2,2,1,4,11,16,0,1,0,1,0,5,1,6
a_portnov,Андрій Портнов,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,3,2,5,1,15,11,27,0,0,0,0,0,0,0,0,0,0,0,0,3,15,6,24,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,6,5,12,0,2,0,2,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,6,0,3,0,3,0,1,0,1,0,0,0,0,0,1,0,1,0,2,4,6,0,2,0,2,0,1,0,1,0,2,0,2,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o_tatarov,Олег Татаров,0,1,0,1,0,0,0,0,0,3,1,4,0,0,0,0,1,3,1,5,0,1,1,2,0,2,7,9,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,1,0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2,2,5,0,0,1,1,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,1,4,0,1,2,3,0,0,0,0,0,1,1,2,0,1,0,1,0,5,4,9,0,0,0,0,0,1,1,2,0,2,1,3,0,0,0,0,0,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,3,0,3
