image_name,name,Економічна правда; позитивні,Економічна правда; нейтральні,Економічна правда; негативні,Економічна правда; загалом,РБК-Україна; позитивні,РБК-Україна; нейтральні,РБК-Україна; негативні,РБК-Україна; загалом,Українська правда; позитивні,Українська правда; нейтральні,Українська правда; негативні,Українська правда; загалом,ZIK; позитивні,ZIK; нейтральні,ZIK; негативні,ZIK; загалом,LIGA.net; позитивні,LIGA.net; нейтральні,LIGA.net; негативні,LIGA.net; загалом,Obozrevatel; позитивні,Obozrevatel; нейтральні,Obozrevatel; негативні,Obozrevatel; загалом,24 канал; позитивні,24 канал; нейтральні,24 канал; негативні,24 канал; загалом,УНІАН; позитивні,УНІАН; нейтральні,УНІАН; негативні,УНІАН; загалом,LB.ua; позитивні,LB.ua; нейтральні,LB.ua; негативні,LB.ua; загалом,ТСН; позитивні,ТСН; нейтральні,ТСН; негативні,ТСН; загалом,Сьогодні; позитивні,Сьогодні; нейтральні,Сьогодні; негативні,Сьогодні; загалом,Гордон; позитивні,Гордон; нейтральні,Гордон; негативні,Гордон; загалом,УНН; позитивні,УНН; нейтральні,УНН; негативні,УНН; загалом,Апостроф; позитивні,Апостроф; нейтральні,Апостроф; негативні,Апостроф; загалом,Українські новини; позитивні,Українські новини; нейтральні,Українські новини; негативні,Українські новини; загалом,Страна.ua; позитивні,Страна.ua; нейтральні,Страна.ua; негативні,Страна.ua; загалом,Радіо Свобода; позитивні,Радіо Свобода; нейтральні,Радіо Свобода; негативні,Радіо Свобода; загалом,Фокус; позитивні,Фокус; нейтральні,Фокус; негативні,Фокус; загалом,Інтерфакс-Україна; позитивні,Інтерфакс-Україна; нейтральні,Інтерфакс-Україна; негативні,Інтерфакс-Україна; загалом,112.ua; позитивні,112.ua; нейтральні,112.ua; негативні,112.ua; загалом,ZN.UA; позитивні,ZN.UA; нейтральні,ZN.UA; негативні,ZN.UA; загалом,Znaj.ua; позитивні,Znaj.ua; нейтральні,Znaj.ua; негативні,Znaj.ua; загалом,Politeka; позитивні,Politeka; нейтральні,Politeka; негативні,Politeka; загалом,Громадське; позитивні,Громадське; нейтральні,Громадське; негативні,Громадське; загалом,Факти ICTV; позитивні,Факти ICTV; нейтральні,Факти ICTV; негативні,Факти ICTV; загалом,Главком; позитивні,Главком; нейтральні,Главком; негативні,Главком; загалом,Цензор.НЕТ; позитивні,Цензор.НЕТ; нейтральні,Цензор.НЕТ; негативні,Цензор.НЕТ; загалом,Корреспондент.net; позитивні,Корреспондент.net; нейтральні,Корреспондент.net; негативні,Корреспондент.net; загалом,Вголос; позитивні,Вголос; нейтральні,Вголос; негативні,Вголос; загалом,НВ; позитивні,НВ; нейтральні,НВ; негативні,НВ; загалом,Gazeta.ua; позитивні,Gazeta.ua; нейтральні,Gazeta.ua; негативні,Gazeta.ua; загалом,Zaxid.net; позитивні,Zaxid.net; нейтральні,Zaxid.net; негативні,Zaxid.net; загалом,Суспільне; позитивні,Суспільне; нейтральні,Суспільне; негативні,Суспільне; загалом,Укрінформ; позитивні,Укрінформ; нейтральні,Укрінформ; негативні,Укрінформ; загалом,ГолосUA; позитивні,ГолосUA; нейтральні,ГолосUA; негативні,ГолосUA; загалом,Букви; позитивні,Букви; нейтральні,Букви; негативні,Букви; загалом,КП в Украине; позитивні,КП в Украине; нейтральні,КП в Украине; негативні,КП в Украине; загалом,Факти; позитивні,Факти; нейтральні,Факти; негативні,Факти; загалом,Телеграф; позитивні,Телеграф; нейтральні,Телеграф; негативні,Телеграф; загалом,Вести; позитивні,Вести; нейтральні,Вести; негативні,Вести; загалом,Еспресо ТВ; позитивні,Еспресо ТВ; нейтральні,Еспресо ТВ; негативні,Еспресо ТВ; загалом,Бабель; позитивні,Бабель; нейтральні,Бабель; негативні,Бабель; загалом
v_zelenskyi,Володимир Зеленський,1,15,3,19,23,157,34,214,14,84,21,119,13,95,58,166,9,112,23,144,20,190,53,263,45,315,92,452,17,124,35,176,14,102,14,130,2,28,8,38,18,95,30,143,38,249,86,373,26,161,46,233,14,86,25,125,28,117,46,191,20,163,62,245,10,79,20,109,20,97,32,149,31,141,38,210,16,140,78,234,27,160,37,224,14,97,29,140,6,45,19,70,4,32,20,56,12,65,14,91,26,282,60,368,74,182,91,347,11,111,12,134,4,47,9,60,26,176,66,268,16,161,36,213,3,42,10,55,8,94,15,117,38,217,39,294,54,140,72,266,13,110,34,157,36,120,45,201,12,46,24,82,19,70,50,139,36,237,102,375,15,123,48,186,4,62,20,86
v_medvedchuk,Віктор Медведчук,0,2,0,2,3,39,7,49,4,20,6,30,7,55,38,100,1,28,8,37,6,52,19,77,9,99,28,136,5,41,11,57,0,17,4,21,1,10,1,12,1,11,6,18,11,67,29,107,3,8,7,18,2,31,11,44,3,28,6,37,3,24,11,38,1,22,4,27,3,33,17,53,2,37,4,43,6,57,45,108,6,46,10,62,0,2,4,6,0,4,3,7,1,9,8,18,0,4,0,4,2,85,15,102,5,43,26,74,0,7,0,7,0,9,1,10,11,72,20,103,2,49,6,57,1,14,3,18,2,10,3,15,2,28,6,36,25,62,49,136,0,17,8,25,9,35,13,57,6,12,8,26,11,37,24,72,15,67,38,120,0,24,12,36,3,24,6,33
p_poroshenko,Петро Порошенко,0,2,0,2,4,25,5,34,6,23,8,37,3,21,10,34,1,20,1,22,7,34,17,58,6,81,34,121,5,26,7,38,4,39,8,51,3,4,2,9,3,7,11,21,14,79,24,117,3,13,2,18,6,30,10,46,9,43,26,78,9,56,24,89,0,13,2,15,5,18,14,37,3,29,6,38,2,21,6,29,6,46,14,66,2,27,13,42,4,17,13,34,0,17,5,22,1,5,0,6,6,87,19,112,11,33,20,64,1,5,2,8,0,8,1,9,13,66,21,100,5,37,16,58,1,12,4,17,1,14,2,17,1,21,2,24,16,31,14,61,6,35,23,64,17,33,15,65,5,8,10,23,8,23,14,45,16,69,31,116,1,23,12,36,2,24,16,42
d_razumkov,Дмитро Разумков,0,3,0,3,4,50,4,58,4,16,2,22,1,11,4,16,0,15,3,18,5,21,5,31,2,42,9,53,3,28,4,35,2,31,2,35,0,6,2,8,0,14,3,17,4,43,9,56,2,44,6,52,2,7,3,12,3,26,12,41,2,26,12,40,0,11,0,11,7,16,11,34,6,51,4,61,3,30,4,37,5,28,2,35,0,12,7,19,2,5,6,13,0,4,3,7,2,12,2,16,1,31,6,38,11,41,14,66,2,19,2,23,0,7,3,10,8,21,3,32,3,33,8,44,0,4,0,4,0,12,0,12,3,75,4,82,10,16,5,31,1,23,7,31,9,16,6,31,3,1,0,4,1,14,0,15,8,46,9,63,0,26,6,32,1,9,2,12
o_danilov,Олексій Данілов,0,7,1,8,3,25,8,36,3,11,5,19,2,14,5,21,2,21,4,27,3,32,6,41,6,56,11,73,3,40,11,54,1,14,2,17,0,2,0,2,2,13,5,20,5,47,14,66,2,29,7,38,3,20,3,26,5,28,7,40,7,26,8,41,4,20,4,28,7,18,6,31,1,27,8,36,1,16,9,26,4,27,8,39,0,7,0,7,1,3,1,5,1,8,1,10,3,13,3,19,5,27,10,42,11,37,7,55,0,11,2,13,1,8,1,10,11,36,12,59,1,19,4,24,1,14,1,16,0,9,2,11,6,26,7,39,9,17,10,36,0,13,6,19,5,24,4,33,2,6,0,8,5,11,6,22,5,31,8,44,4,19,5,28,1,10,2,13
a_avakov,Арсен Аваков,0,0,0,0,3,24,3,30,5,19,1,25,1,2,1,4,0,11,2,13,4,22,14,40,4,42,19,65,2,16,4,22,1,10,1,12,4,7,2,13,1,15,2,18,11,41,11,63,3,6,2,11,0,2,2,4,6,20,9,35,6,19,8,33,1,4,1,6,4,9,7,20,3,13,4,20,2,8,3,13,8,22,7,37,0,6,1,7,0,4,1,5,1,4,6,11,3,5,1,9,0,49,9,58,12,16,7,35,0,3,1,4,0,5,1,6,3,16,5,24,3,34,9,46,1,4,3,8,2,6,2,10,5,16,6,27,2,9,4,15,2,13,4,19,3,13,8,24,2,3,7,12,1,6,3,10,5,22,6,33,1,15,7,23,3,23,6,32
o_korniienko,Олександр Корнієнко,0,4,0,4,4,28,4,36,1,15,3,19,0,5,0,5,0,16,4,20,2,15,3,20,1,42,7,50,1,20,5,26,0,23,1,24,0,7,1,8,0,13,5,18,1,37,7,45,2,15,8,25,0,3,1,4,0,19,5,24,3,23,12,38,0,10,3,13,2,14,5,21,1,37,2,40,1,11,1,13,1,22,2,25,0,3,1,4,0,1,1,2,0,6,2,8,0,7,1,8,0,26,6,32,7,35,8,50,0,7,1,8,0,8,1,9,5,47,6,58,1,17,1,19,0,4,0,4,1,16,0,17,2,29,3,34,1,7,2,10,0,16,2,18,3,18,5,26,1,4,0,5,2,2,1,5,7,35,4,46,0,14,2,16,1,16,2,19
a_yermak,Андрій Єрмак,0,1,0,1,1,12,6,19,1,9,5,15,0,6,2,8,1,12,0,13,1,14,6,21,4,45,14,63,1,7,5,13,2,7,3,12,0,2,0,2,2,8,6,16,5,28,12,45,0,9,3,12,2,10,4,16,2,6,7,15,2,15,12,29,2,3,2,7,5,20,5,30,2,7,5,14,0,9,7,16,1,16,8,25,1,10,3,14,2,4,5,11,1,2,1,4,0,5,1,6,2,40,13,55,9,27,20,56,0,10,1,11,0,2,0,2,0,38,15,53,1,21,4,26,0,4,4,8,0,6,3,9,0,22,2,24,1,13,5,19,3,22,11,36,6,6,3,15,2,5,6,13,3,11,10,24,2,26,10,38,3,13,8,24,1,10,3,14
d_shmyhal,Денис Шмигаль,1,6,3,10,1,30,4,35,2,10,1,13,1,10,2,13,0,8,0,8,4,26,6,36,5,35,10,50,2,7,1,10,1,10,1,12,0,0,0,0,2,12,2,16,6,26,10,42,3,41,8,52,0,7,2,9,2,15,9,26,1,6,7,14,0,4,1,5,1,7,2,10,3,23,4,30,2,25,4,31,3,15,3,21,4,24,4,32,2,16,5,23,0,1,0,1,0,12,2,14,5,22,5,32,5,16,5,26,1,15,2,18,0,2,0,2,5,19,1,25,0,20,2,22,0,1,1,2,1,17,1,19,7,58,4,69,5,8,3,16,0,0,4,4,3,17,2,22,1,0,0,1,0,2,2,4,4,20,6,30,3,20,5,28,1,2,0,3
s_marchenko,Сергій Марченко,0,1,0,1,1,14,1,16,0,6,1,7,2,18,11,31,0,9,3,12,3,14,4,21,3,40,15,58,3,19,8,30,0,4,2,6,0,4,0,4,0,2,1,3,4,31,12,47,1,4,6,11,1,5,3,9,0,11,0,11,2,6,1,9,1,6,0,7,2,17,5,24,1,8,1,10,2,19,16,37,2,21,6,29,0,1,0,1,0,2,0,2,1,3,4,8,0,2,0,2,2,40,9,51,1,18,5,24,0,3,0,3,0,3,0,3,5,28,6,39,0,15,2,17,1,5,0,6,0,3,1,4,0,19,5,24,5,13,6,24,0,4,4,8,3,16,4,23,1,1,1,3,4,15,7,26,3,27,10,40,0,9,4,13,0,6,1,7
