expert_id;image_name;name;сфера;освіта;місце роботи;найбільше коментує
373;r_riaboshapka;Руслан Рябошапка;Аналітика (?);Міжнародний Соломонів університет, спеціальність правознавство;Світовий банк, OECD, Центр національної стійкості та розвитку;Політика
796;v_aristov;Вадим Арістов;Бізнес;НМУ ім. Богомольця, University of Rochester School of Medicine and Dentistry,;консультант зі стратегічного менеджменту, експерт у сфері охорони здоров'я/інфекціоніст, стратег, консультант з управління змінами/директор Рівайвал Інститут;Коронавірус
544;m_timchenko;Максим Тімченко;Бізнес;Донецька державна академія управління(Менеджмент у виробничій сфері), University of Manchester, має ступінь бакалавра економіки і соціальних наук;генеральний директор ДТЕК;Економіка
540;o_aivazovska;Ольга Айвазовська;Громадський сектор;Черкаський національний університет ім. Богдана Хмельницького(факультет української філології та журналістики);Голова правління Опори;Політика
126;v_shabunin;Віталій Шабунін;Громадський сектор;Рівненський інститут слов’янознавства (факультет міжнародних відносин);голова Центру протидії корупції;Політика, Інциденти
1011;y_khabikht;Ярно Хабіхт;Держслужба;;глава офісу Всесвітньої організації охорони здоров'я в Україні;Коронавірус
386;f_lapii;Федір Лапій;Держслужба;НМУ ім. Богомольця, кандидат медичних наук;Глава української національної технічної групи з питань імунопрофілактики;Коронавірус
378;s_kravchenko;Сергій Кравченко;Громадський сектор;Медичний інститут УАНМ, лікар І кваліфікаційної категорії;глава Національної медичної палати України;Коронавірус
554;s_kuiun;Сергій Куюн;Економічна аналітика;Харківський авіаційний інститут, НТУ «КПІ»;директор Консалтингової групи А-95;Економіка
635;o_doroshenko;Олексій Дорошенко;Економічна аналітика;Національний транспортний університет (Економіка та управління у транспорті);голова Національної ради економічного розвитку;Економіка
294;v_omelian;Володимир Омелян;Економічна аналітика;ЛНУ ім. Франка (Фінанси, міжнародні відносини), НУ «Львівська політехніка» (Економіка і підприємництво);Колишній міністр інфраструктури;Політика, Економіка
256;o_kalenkov;Олександр Каленков;Економічна аналітика;НТУ «КПІ», Frank G. Zarb School of Business, Hofstra University;"президент об'єднання ""Укрметалургпром""";Економіка
215;o_ustenko;Олег Устенко;Економічна аналітика;КНЕУ ім. Вадима Гетьмана, Гарвардський університет;радник Зеленського з економічних питань, може виключити;Економіка
163;t_mylovanov;Тимофій Милованов;Економічна аналітика;НТУ «КПІ», Києво-Могилянська Академія, Київська школа економіки (магістра економіки), Університет Вісконсин-Медісон (PhD з економіки);Почесний президент Київської школи економіки, позаштатний радник А. Єрмака, головою наглядової ради ДК «Укроборонпром»;Економіка, Політика
134;o_pendzyn;Олег Пендзин;Економічна аналітика;Московський державний університет;виконавчий директор Економічного дискусійного клубу;Економіка
124;b_kushniruk;Борис Кушнірук;Економічна аналітика;"Київський інститут народного господарства, спеціальність ""Планування народного господарства""";Голова експертно-аналітичної ради Українського аналітичного центру;Економіка
43;y_butusov;Юрій Бутусов;Журналістика;Інститут міжнародних відносин КНУ ім. Тараса Шевченка (міжнародне право);Головний редактор порталу Цензор.нет;Політика, Інциденти
376;s_ryzhenko;Сергій Риженко;Медицина;Дніпропетровський медичний інститут (лікувальна справа), доктор медичних наук;головлікар лікарні імені Мечикова в Дніпрі;Коронавірус
408;n_vynohrad;Наталія Виноград;Медицина;ЛНМУ ім. Данила Галицького, доктор медичних наук;завідувач кафедри епідеміології ЛНМУ ім. Данила Галицького, експерт ВООЗ з реагування на біологічні загрози;Коронавірус
75;y_komarovskyi;Євген Комаровський;Медицина;Харківський медичний інститут, педіатричний факультет, кандидат медичних наук;лікар-педіатр;Коронавірус
67;o_holubovska;Ольга Голубовська;Медицина;Київський медичний інститут, доктор медичних наук;провідний інфекціоніст МОЗ, завідувач кафедри інфекційних хвороб Національного медичного університету імені О. О. Богомольця;Коронавірус
524;y_istrebin;Євген Істребін;Медична аналітика;;Системний аналітик;Коронавірус
172;s_komisarenko;Сергій Комісаренко;Наука;Київський медичний інститут, доктор біологічних наук;Голова комісії з біобезпеки та біологічного захисту при РНБО, академік НАНУ;Коронавірус
147;a_yatseniuk;Арсеній Яценюк;Політика;ЧНУ ім. Юрія Федьковича (правознавство), КНТЕУ (облік та аудит), кандидат економічних наук;колишній прем'єр-міністр;Політика
230;v_fesenko;Володимир Фесенко;Політологія;ХНУ ім. Каразіна, КНУ ім. Шевченка, кандидат філософських наук;"політолог,Голова правління Центру прикладних політичних досліджень ""Пента""";Політика
464;t_zahorodnii;Тарас Загородній;Політтехнології;НУ «Києво-Могилянська академія» (Фінанси и кредит);політичний експерт, голова управління у ГО «Національна антикризова група»;Політика
293;a_zolotarov;Андрій Золотарьов;Політтехнології;;"політолог, керівник Центру ""Третій сектор""";Політика
166;r_biziaiev;Руслан Бізяєв;Політтехнології;Черкаський державний університет (вчитель російської мови, літератури та психології);член «незалежного пулу експертів» ІНПОЛІТ;Політика, Економіка
211;o_okhrimenko;Олександр Охріменко;Політтехнології;Київський інститут народного господарства;президент Українського аналітичного центру;Економіка
136;r_bortnyk;Руслан Бортник;Політтехнології;Національний університет внутрішніх справ України (право);Політолог, директор Українского інституту політики;Політика
