category,word,word_count
політика,України,47627
політика,Президента,21517
політика,Вересня,21007
політика,Депутат,15853
політика,Партії,15506
політика,Зеленському,14977
політика,Заяви,14131
політика,Голова,13657
економіка,український ,11571
економіка,місцевий ,11483
економіка,мати ,11262
економіка,вибір ,11229
економіка,міністр ,10452
економіка,питання ,10389
економіка,слуга ,9979
Коронавірус,вакцина,12333
Коронавірус,лікар,11854
Коронавірус,смерть,10766
Коронавірус,місця,10231
Коронавірус,хворий,9877
Інциденти,ДТП,6521
Інциденти,аварія,8621
Інциденти,катастрофа,4213
Інциденти,смерть,4221
Інциденти,поліція,33112
Міжнародна політика,зустріч,4318
Міжнародна політика,дипломат,4573
Міжнародна політика,домовленності,2341
Міжнародна політика,ТГК,764
Міжнародна політика,війна,1345
